Empresa;Direcci√≥n;CP;Ciudad;Provincia;Tel√©fono;M√≥vil;Email;Web;Sector;N. Empleados;Administrador;P.Contacto;CIF;Comentario
AUTOESCUELA ROMA HUELVA;RONDA EXTERIOR NORTE, 33 21007 HUELVA (HUELVA);;HUELVA;HUELVA;959234380;959153665;romahuelva@hotmail.com;;CONSTRUCCION;;;;;
SERVICIOS FUNERARIOS SAN JOS√â;RONDA EXTERIOR NORTE, S/N;;HUELVA;HUELVA;959286000;;tanatoriosdehuelva@hotmail.com;www.tanatoriosdehuelva.com;SERV. JURIDICOS;;;;;
HOSPITAL JUAN RAMON JIMENEZ;RONDA NORTE, S/N;21005;HUELVA;HUELVA;932044000;959202080;espinar@iese.es;;SERV. JURIDICOS;;;;;
HOSPITAL JUAN RAMON JIMENEZ;RONDA NORTE, S/N;21005;HUELVA;HUELVA;932044000;959202080;info@iese.es;;;;;;;
VIAJES CARREFOUR S.L.  ;RONDA RONDA EXTERIOR NORTE, S/N;21007;HUELVA;HUELVA;959220331;;es.viajes.huelva@carrefour.com;www.carrefour.es/viajes;CONSTRUCCION;;;;;
HUELVA DIGITAL - HUELVA;ROQUE BARCIA, 23;21003;HUELVA;HUELVA;959223671;;comercial@huelvadigital.com;www.huelvadigital.com;TURISMO;;;;;
LA VICTORIA - HUELVA;ROQUE BARCIA, 7;21003;HUELVA;HUELVA;959222981;;;;SUMINISTROS HOSTELERIA;;;;;
INFORMATICA SERVITEC HUELVA S.L. - HUELVA;RUIZ DE ALDA 2;21002;HUELVA;HUELVA;959256256;;servitec@servitechuelva.es;;INFORMATICA;;;;;
CLINICA DENTAL DANIEL RAGEL - HUELVA;RUIZ DE ALDA 2 1∞B - PZ. DE LA MERCED;21002;HUELVA;HUELVA;959251466;;;;ESTOMATOLOGOS;;;;;
AUTOMATISMOS HUELVA - HUELVA;RUIZ V…LEZ, 7;21002;HUELVA;HUELVA;959245601;;;;INGENIERIA ;;;;;
LIMPIEZAS SERVICONTROL S.L.;S. APOSTOL,†14                                                                  ;21002;HUELVA;HUELVA;†959252719;;info@servicontrol.net;;;;;;;
HUELVA MMD, S.L.;SAN CRISTOBAL, 11;21003;HUELVA;HUELVA;959253981;;bhuelva@datalogic.es;;SERVICIO INFORMATICO;;;;;
HUELVA MMD, S.L.;SAN CRISTOBAL, 11;21003;HUELVA;HUELVA;959253981;;bhuelva@datalogic.es;;SALUD;;;;;
THE ENGLISH BOOKSHOP;SAN CRISTOBAL, 11;21003;HUELVA;HUELVA;959281094;959282401;librosur@arrakis.es;;;;;;;
MINERVA PRODUCCIONES;SAN CRISTOBAL, 11;21003;HUELVA;HUELVA;959541824;;minervaprod@tpi.infomail.es;;;;;;;
HUSERVI;SAN CRISTOBAL, 17;21003;HUELVA;HUELVA;959248269;959280556;huservi@nexo.net;;;;;;;
JUNTA ANDALUCIA.CONSEJERIA CULTURA.PUBLICACIONES;SAN JOSE, 13;41071;HUELVA;HUELVA;955036400;955036406;informacion@junta-andalucia.es;www.junta-andalucia.es;HOSTELERIA Y RESTAURACION;;;;;
PELOSTOP - HUELVA;SAN JOS…, 15;21002;HUELVA;HUELVA;959262689;;huelva-sanjose@pelostop.com;;CLINICAS ;;;;;
908 TELEFONIA, S.L.;SAN JOSE, 18;21002;HUELVA;HUELVA;959262478;;908@arrakis.es;;TELEFONÕA M”VIL;;;;;
FILAT. NUMISM. SAN JOSE;SAN JOSE, 2;21002;HUELVA;HUELVA;959263849;;sjose@airtel.net;;;;;;;
CHAPO DECORACION - HUELVA;SAN JOSE, 6;21002;HUELVA;HUELVA;959246537;;chapodecora@hotmail.com;;BANCOS Y CAJAS;;;;;
ASESORIA ALIA—O S.L.;SAN JOSE,†39                                                                    ;21002;HUELVA;HUELVA;†959260097;;alianomanuel@terra.es;;SERV. JURIDICOS;;;;;
ELECOM;SAN JUAN, 47;21006;HUELVA;HUELVA;959230572;;elecomsca@terra.es;;;;;;;
JIMENEZ†DOMINGUEZ†MANUEL;SAN JUAN,†23                                                                    ;21006;HUELVA;HUELVA;†959233583;;pibliodiel@yahoo.es;;;;;;;
SILVESTRE;SAN NICOLAS, 16;29016;HUELVA;HUELVA;952602382;952602383;chapor@telenet.es;www.chapor.net;ALIMENTACION;;;;;
PINTURIMPER, S.L.;SAN RAFAEL, 41-BAJOS;4850;HUELVA;HUELVA;964563477;;pinturimper@tpi.infomail.es;;CONSTRUCCION;;;;;
SERVICIOS Y GESTION GOMAFA S.L. - HUELVA;SAN RAM”N, 32;21006;HUELVA;HUELVA;959223843;;;;SERVICIOS A EMPRESAS;;;;;
VINSA - HUELVA;SAN RAM”N, 37;21006;HUELVA;HUELVA;959271464;;;;EMPRESAS DE SEGURIDAD ;;;;;
THURSA COSTA DE LA LUZ;SAN SALVADOR, 1;21003;HUELVA;HUELVA;959282107;;central@thursa.com;www.destinohuelva.com;;;;;;
THURSA INCOMING;SAN SALVADOR, 1, 2∫ IZQDA.;21003;HUELVA;HUELVA;959282107;959540378;info@thursa.com;www.thursa.com;TIENDA DE DEPORTES ;;;;;
FISIOTERAPIA CAMBLOR S.L. - HUELVA;SAN SALVADOR, 3;21003;HUELVA;HUELVA;959247781;;;;FISIOTERAPEUTA;;;;;
GESTIWELBA LEX - HUELVA;SAN SALVADOR, 3;21003;HUELVA;HUELVA;959235310;;laboral@gestiwelbalex.com;;SALUD;;;;;
ASESORIA JURIDICA LAR - HUELVA;SAN SALVADOR, 5;21003;HUELVA;HUELVA;959819006;;larabogado@gmail.com;;;;;;;
H-SOFT, S.A.;SAN SEBASTIAN, 17;21004;HUELVA;HUELVA;959541100;959540651;info@hsoft.es;www.hsoft.es;;;;;;
AUTOESCUELA BRIOSO - HUELVA;SAN SEBASTI¡N, 2;21004;HUELVA;HUELVA;959250801;;info@autoescuelabrioso.com;;AUTOESCUELAS;;;;;
CENTRO VETERINARIO PUNTA;SAN SEBASTIAN, 8;21003;HUELVA;HUELVA;959284242;;vetpunta@arrakis.es;;;;;;;
HUELVAONLINE.COM;SAN SEBASTIAN, N∫ 17;21004;HUELVA;HUELVA;902999986;959540652;publicidad@huelvaonline.com;www.huelvaonline.com;PUBLICIDAD ;;;;;
HUELVAONLINE.COM;SAN SEBASTIAN, N∫ 17;21004;HUELVA;HUELVA;902999986;959540652;publicidad@huelvaonline.com;www.huelvaonline.com;;;;;;
CLÕNICA DENTAL NTRA. SRA. DEL PILAR - HUELVA;SANTA MARÕA DEL PILAR 90 - 1∞ A;21005;HUELVA;HUELVA;959159191;;;;SALUD;;;;;
TALLERES MARIN ONUBENSE;SANTA RAFAELA MARIA,8;21002;HUELVA;HUELVA;959242581;959540142;talleresmarin@yahoo.es;;;;;;;
ANGEL SANDE S.A. - HUELVA;SANTIAGO APOSTOL 12;21002;HUELVA;HUELVA;959242335;;;www.angelsande.com;FERRETERIAS;;;;;
ANFER - HUELVA;SANTIAGO APOSTOL 20;21002;HUELVA;HUELVA;959256259;;anfercb@terra.es;;ELECTRICISTAS;;;;;
BIFASE HUELVA,S.L. - HUELVA;SANTIAGO AP”STOL, 18;21002;HUELVA;HUELVA;959241536;;;;ELECTRICISTAS;;;;;
FEPEJA DE PAPELERIA, S.L.;SANTIAGO APOSTOL, 24;21002;HUELVA;HUELVA;959241850;;fepeja@grupoccs.com;;INMOBILIARIA;;;;;
CIBERCOMUNIDADES - HUELVA;SANTÕSIMO CRISTO DEL AMOR (SAGRADA FAMILIA), 9;21007;HUELVA;HUELVA;959806438;;correo@cibercomunidades.net;;SERVICIOS A EMPRESAS;;;;;
UNISERVICIOS - HUELVA;SANTO DOMINGO 45;21440;HUELVA;HUELVA;625498764;;info@uniservicios.es;www.uniservicios.es;SERVICIOS A EMPRESAS;;;;;
CENTRO DE ESTUDIOS IUS - HUELVA;SANTO DOMINGO DE LA CALZADA, 1;21001;HUELVA;HUELVA;959244200;;;;EMPRESAS DE SEGURIDAD ;;;;;
PROALMENARA S.L. - HUELVA;SANZ DE FRUTOS, 19;21004;HUELVA;HUELVA;959249833;;;;INMOBILIARIAS;;;;;
CEDIPSYRE;SATURNINO MONTOJO, 43-45;11100;HUELVA;HUELVA;956892767;956892767;cedipsyre@correo.cop.es;;;;;;;
EUROLAB SC - HUELVA;SECTOR A (POL. IND. FORTIZ), S/N;21007;HUELVA;HUELVA;959225366;;;;PRODUCTO FARMACEUTICO;;;;;
AUTOSERVICIO BATISTA S.L.;SECTOR C (POL. IND. FORTIZ), 16;21007;HUELVA;HUELVA;959222842;;autbatista@mixmail.com;;CONSTRUCCION;;;;;
SERVICIOS Y RECAMBIOS ODIEL - HUELVA;SECTOR C (POL. IND. FORTIZ), S/N;21007;HUELVA;HUELVA;959543596;;;;MAQUINARIA PARA CONSTRUCCION;;;;;
HOTEL DO—ANA BLUES;SECTOR INGLESILLO 129 MATALASCA—AS;21760;HUELVA;HUELVA;959449817;;reservas@donanablues.com;www.donanablues.com;;;;;;
CAMARA DE COMERCIO IND. Y NAV. DE HUELVA;SOR ANGELA DE LA CRUZ, 1;21003;HUELVA;HUELVA;959245900;959245699;ccihuelva@camerdata.es;;;;;;;
CAMARA OFICIAL DE COMERCIO INDUSTRIA Y NAVEGACION;SOR ANGELA DE LA CRUZ, 1;21003;HUELVA;HUELVA;959540126;;registro.camarahuelva@nexo.net;;CONSTRUCCION;;;;;
INSTALACIONES BAQUERO - HUELVA;TAMARINDOS, S/N;21002;HUELVA;HUELVA;647595489;;decobaq@hotmail.com;;OBRA DE REFORMA;;;;;
STYLO - HUELVA;TARTESSOS NAVE 103 - FRENTE CELULOSA;21007;HUELVA;HUELVA;959356681;;;;DECORACION;;;;;
CARRETILLAS ELEVADORAS ASA;TARTESSOSNAVE 37;21007;HUELVA;HUELVA;959367707;;asa@soportehec.com;www.carretillasasa.com;;;;;;
TARTESSOS;TENDALERAS, 18;21001;HUELVA;HUELVA;959281719;;eulogiocastano@jamonestartessos.com;www.jamonestartessos.com;CONSTRUCCION;;;;;
EULOGIO CASTA—O RODRIGUEZ S.A.;TENDALERAS, 20;21001;HUELVA;HUELVA;959281719;;info@tartesso.es;www.tartesso.es;;;;;;
SEGURFRES S.L. - HUELVA;TENDALERAS, 22;21001;HUELVA;HUELVA;959262951;;;;EMPRESAS DE SEGURIDAD ;;;;;
A & C GESTI”N - HUELVA;R¡BIDA 32 2∞ INTERIOR;21001;HUELVA;HUELVA;959254145;;;;INMOBILIARIAS;;;;;
ALMA NATURA EDUC.OCIO YTIEMPO LIBRE S.L. - HUELVA;R¡BIDA, 18;21001;HUELVA;HUELVA;959251955;;;;ORGANIZACION DE EVENTOS;;;;;
INSTITUTO DE NUEVAS TECNOLOGIAS ONUBA, S.L.;RABIDA, 30;21001;HUELVA;HUELVA;959284499;959284229;into@ono.com;;ALIMENTACION;;;;;
MOJARRO MORANO, MANUEL - HUELVA;R¡BIDA, 32 3∞;21001;HUELVA;HUELVA;959249625;;manuelmojarromorano@yahoo.es;;MEDICOS ESPECIALISTAS;;;;;
LOS ANTONIOS, S.L.;RAFAEL DE LA HABA 28;21710;HUELVA;HUELVA;959412585;959408071;;;TRANSPORTE DE PASAJEROS POR CARRETERA ;;;;;
CRISTALERIA LA LUNETA;RAFAEL GUILLEN, 4;21001;HUELVA;HUELVA;959247438;959249161;claluneta@tpi.infomail.es;;INMOBILIARIA;;;;;
CORDERO ACOSTA EUGENIO - HUELVA;RASCON 10 1∞ A;21001;HUELVA;HUELVA;959252089;;;;ESTOMATOLOGOS;;;;;
FARMACIA VAZQUEZ LIMON - HUELVA;RASCON 15;21001;HUELVA;HUELVA;959247594;;;;PRODUCTO FARMACEUTICO;;;;;
LIMPIEZAS MARSOL - HUELVA;RASCON, 16;21001;HUELVA;HUELVA;959234291;;info@marsol.net;www.marsol.net;;;;;;
LIMPIEZAS MARSOL - HUELVA;RASC”N, 16;21001;HUELVA;HUELVA;959234291;;info@marsol.net;;SERVICIOS INDUSTRIALES;;;;;
CONSTRUCTORA MARBLANC, S.A.;RASCON, 22;21001;HUELVA;HUELVA;959247466;959247566;marblanc@grupoeuropa.com;;INMOBILIARIA;;;;;
GOLF RUSTICO EL HIGUERAL - HUELVA;RASC”N, 25;21001;HUELVA;HUELVA;959249318;;higueral@golf-andalucia.net;;ASOCIACIONES DEPORTIVAS;;;;;
GOLF RUSTICO EL HIGUERAL;RASCON, 25 3∫ IZQDA.;21001;HUELVA;HUELVA;959249318;959251315;higueral@golf-andalucia.net;;CONSTRUCCION;;;;;
CHIMENEAS HUELVA, S.L.;RASCON, 35;21001;HUELVA;HUELVA;959256068;959256068;chimeneashuelva@alehop.com;;;;;;;
OFIMA;RASCON, 46;21001;HUELVA;HUELVA;959247758;;ofima@ono.com;;;;;;;
VIAJES NOSCAR;RASCON, 54;21001;HUELVA;HUELVA;959823970;;viajesnoscar@abclubdelviaje.es;;TURISMO;;;;;
HOTEL FLAMERO, S.L.;RD MAESTRO ALONSO  S-N;;HUELVA;HUELVA;902505100;902505300;info@hotelflamero.es;;HOSTELERIA Y RESTAURACION;;;;;
MAQUINAS GONZALEZ MARQUEZ S.L.;RDA EXTERIOR N,†S/N                                                             ;21007;HUELVA;HUELVA;†959220937;;magomarsl@navegalia.com;;;;;;;
ITAPUAN S.L. - HUELVA;RDA. EXTERIOR NORTE, 9999;21005;HUELVA;HUELVA;959228652;;;;TELECOMUNICACIONES;;;;;
CLECE ENDESA U.T.E - HUELVA;RDA. EXTERIOR NORTE, S/N;21005;HUELVA;HUELVA;959153190;;;;SERVICIOS A EMPRESAS;;;;;
RESIDENCIA NUESTRA SE—ORA DE LA ESPERANZA - HUELVA;RDA. EXTERIOR NORTE, S/N;21005;HUELVA;HUELVA;959155566;;aspapronias@terra.es;;;;;;;
GOFY CATERING - HUELVA;RDA. EXTERIOR ZONA SUR, S/N;21007;HUELVA;HUELVA;959270910;;atencionalcliente@zena.com;;CATERING;;;;;
CONSTRUCCIONES OJEDA BAENA - HUELVA;REMO, 3;21005;HUELVA;HUELVA;959285076;;cnes.ojedabaena@terra.es;;SERV. JURIDICOS;;;;;
CONSTRUCCIONES INMO-LAYRA - HUELVA;REMO, 4;21005;HUELVA;HUELVA;959811243;;;;AISLAMIENTOS;;;;;
GABINETE TECNICO MEDIAMBIENTAL - HUELVA;RICARDO VELAZQUEZ 2 BAJO;21003;HUELVA;HUELVA;959282087;;;www.gabinete-ambiental.com;INGENIERIA ;;;;;
CENTRO DE SOLARES Y APORTACIONES S.L. - HUELVA;RICARDO VEL¡ZQUEZ, 10;21003;HUELVA;HUELVA;959245078;;;;INMOBILIARIAS;;;;;
