Empresa;Direcci√≥n;CP;Ciudad;Provincia;Tel√©fono;M√≥vil;Email;Web;Sector;N. Empleados;Administrador;P.Contacto;CIF;Comentario
SERVIASISTENCIA - HUELVA;POLÕGONO INDUSTRIAL POLIRROSA, C/A - NAVE 1;21001;HUELVA;HUELVA;959033617;;info@serviasistencia.es;;SERVICIOS INDUSTRIALES;;;;;
PLASEMAN;POLIGONO INDUSTRIAL SAN JORGE, 107;21810;HUELVA;HUELVA;959351256;;oficina@plasemansa.es;www.plasemansa.es;;;;;;
ALQUILER DE MAQUINARIA TARTESSOS - HUELVA;POLÕGONO INDUSTRIAL TARTESSOS, 219 (C/B);21007;HUELVA;HUELVA;959367172;;amt@tartessos.es;www.amtartessos.es;SERVICIOS INDUSTRIALES;;;;;
TOP SECURITY S.L. - HUELVA;POLÕGONO LA LUZ, S/N;21007;HUELVA;HUELVA;902200777;;topsecurity@topsecurity.es;www.topsecurity.es;EMPRESAS DE SEGURIDAD ;;;;;
DISTRIBUCIONES CARDOSO, S.A.;POLIGONO LA PAZ, NAVE 12;21007;HUELVA;HUELVA;959228011;959228075;dcardoso@grupocardoso.com;www.grupocardoso.com;;;;;;
BONANZA ONUBENSE, S.L.;POLIGONO LA PAZ, NAVE 19;21007;HUELVA;HUELVA;959270267;959270820;bonanza@redbonanza.com;;;;;;;
ASPROAUTO;POLIGONO LA PAZ, NAVE 31 21007 HUELVA (HUELVA);;HUELVA;HUELVA;959270725;959236855;asproauto@asproauto.com;;;;;;;
HUELVA WAGEN;POLIGONO LA PAZ, PARC. 6-9 21007 HUELVA (HUELVA);;HUELVA;HUELVA;959543912;959270813;info@huelvawagen.com;;TURISMO;;;;;
REYMO;POLIGONO MIRAVAL, 24 - NAVE;21007;HUELVA;HUELVA;959250257;;reymo@telefonica.net;www.reymopublicidad.es;CONSTRUCCION;;;;;
CELEBRACIONES LOS MOLINOS - HUELVA;POLÕGONO MIRAVAL, 57;21007;HUELVA;HUELVA;657971964;;info@losmolinoshuelva.com;www.losmolinoshuelva.com;SERVICIOS A EMPRESAS;;;;;
MACIAS RAMOS E HIJOS, S.L.;POLIGONO NAVILUZ, NAVE 25;21003;HUELVA;HUELVA;959220839;959220823;info@pamfrost.com;;TURISMO;;;;;
ERTISA, S.A.;POLIGONO NUEVO PUERTO, PARC. 43;21810;HUELVA;HUELVA;959369213;959369307;ertisa@ertisa.es;www.ertisa.es;PRODUCCI”N DE METILAMINAS Y FENOL ;;;;;
BONANZA ARTES GR¡FICAS - HUELVA;POLÕGONO PAVIPRESA, 8 - NAVE;21007;HUELVA;HUELVA;959229661;;presupuestos@agbonanza.es;;GRAFICAS;;;;;
ANTONIO MACHUCA S.A.;POLIGONO PESQUERO NORTE, 1;21001;HUELVA;HUELVA;959248577;;antonio@antoniomachuca.net;www.antoniomachuca.net;SERV. JURIDICOS;;;;;
TODO - GAS HUELVA S.L. - HUELVA;POLIGONO PESQUERO NORTE, S/N;21002;HUELVA;HUELVA;959282267;;;;ENERGIA ELECTRICA;;;;;
TODO;POLIGONO PESQUERO NORTE, S/N;21002;HUELVA;HUELVA;959282267;;info@todogashuelva.com;www.todogashuelva.com;;;;;;
TORSESA - HUELVA;POLÕGONO PESQUERO NORTE, S/N;21001;HUELVA;HUELVA;959281288;;ventas@torsesa.es;;ENERGIA ELECTRICA;;;;;
CLIMA HUELVA - HUELVA;POLÕGONO POLIRROSA C - B, NAVE 153;21007;HUELVA;HUELVA;959224843;;climahuelva@terra.es;;SERVICIOS INDUSTRIALES;;;;;
OTEIN INGENIERIA E INSTALACIONES S.L.;POLIGONO POLIRROSA, 236 C/C;21007;HUELVA;HUELVA;959222322;;otein@otein.jazztel.es;;;;;;;
ONUPAST;POLIGONO SAN DIEGO 31 NAVE;21007;HUELVA;HUELVA;959233979;;onupast@gmail.com;;;;;;;
HUELVA AUTOMOCION, S.A.;POLIGONO SAN DIEGO, 41;21007;HUELVA;HUELVA;959228512;959233877;admon@huelva-automocion.tsai.es;;SALUD;;;;;
M. GARCIA BARROSO;POLIGONO SAN DIEGO, 7 - NAVES 7 Y 14;21007;HUELVA;HUELVA;959229112;;info@mgarciabarroso.com;www.mgarciabarroso.com;INMOBILIARIA;;;;;
M. RODRIGUEZ NU—EZ, S.A.;POLIGONO SAN DIEGO, NAVE 3;21003;HUELVA;HUELVA;959226049;959271226;rodrigueznu@terra.es;;HOSTELERIA Y RESTAURACION;;;;;
HUELVA AUTOMOCION FORD;POLIGONO SAN DIEGO, NAVE 41-42 21007 HUELVA (HUELVA);;HUELVA;HUELVA;959228353;959233877;ventas@huelva-automocion.tsai.es;;ALIMENTACION;;;;;
JULIAN LOPEZ DOMINGUEZ;POLIGONO TARTESSOS -C/ E, NAVE 406 21007 HUELVA (HUELVA);;HUELVA;HUELVA;959300097;959100954;julianlopezd@gmail.com;;;;;;;
MANOCIAN DECORACION - HUELVA;POLIRROSA 187;21007;HUELVA;HUELVA;959227516;;manocian@wanadoo.es;;DECORACION;;;;;
OTEIN INGENIERIA E INSTALACIONES S.L. - HUELVA;POLIRROSA 236 C/C;21007;HUELVA;HUELVA;959222322;;otein@otein.jazztel.es;;DECORACION;;;;;
ARTENOVIA - HUELVA;PORTUGAL 4;21001;HUELVA;HUELVA;959282110;;;;VESTIDOS DE NOVIA;;;;;
ARPE ASESORES - HUELVA;POZO NUEVO 13;21003;HUELVA;HUELVA;959306657;;;www.arpeasesores.es;SERVICIOS A EMPRESAS;;;;;
ISDACORE REFORMAS - HUELVA;PRACTICANTE MARTÕN MOLINO, PORTAL 2;21002;HUELVA;HUELVA;636256459;;;;OBRA DE REFORMA;;;;;
ELECTROBER FAX  ;PRAJE PAPAOS  LOS , S/N;4720;HUELVA;HUELVA;950345111;;electrober@cajamar.es;;CONSTRUCCION;;;;;
CENTRO DE INTERPRETACION PUERTA DEL ATLANTICO - HUELVA;PRESIDENTE ADOLFO SUAREZ, S/N;21001;HUELVA;HUELVA;959541817;;manuel.vela@huelva.es;www.ayuntamientohuelva.esciudad/puerta;;;;;;
MAS Q RECAMBIOS - HUELVA;PROL. ZUFRE, 2;21007;HUELVA;HUELVA;959221827;;masqrecambios@hotmail.com;;;;;;;
RUBIRA TOBARUELA PEDRO JOSE;PSAJE SAN ISIDORO, 1;23400;HUELVA;HUELVA;953756534;;pjrubira@hotmail.com;;HOSTELERIA Y RESTAURACION;;;;;
FERRETERIA EL POLVORIN S.L. - HUELVA;PUEBLA DE GUZM¡N, 3;21007;HUELVA;HUELVA;959233397;;;;FERRETERIAS;;;;;
HUELVA DIGITAL, S.L.L.;PUEBLA DE GUZMAN, 32;21007;HUELVA;HUELVA;959223671;959223671;adolfot@latinmail.com;;;;;;;
REPUESTOS MARIN VARGAS S.L. - HUELVA;PUEBLA DE GUZM¡N, 4;21007;HUELVA;HUELVA;959227907;;;;ELECTRODOMESTICOS;;;;;
GALTECO S.L. - HUELVA;PUEBLA DE SANABRIA, 1;21007;HUELVA;HUELVA;959225742;;;;SERVICIOS A EMPRESAS;;;;;
VISITOURS;PUERTA DE TRIANA  ISLA DE LA CARTUJA ;41092;HUELVA;HUELVA;954460985;954460985;visitours@sistelnet.es;www.visitours-exc.com;;;;;;
VIAJES CAJASOL;PUERTO 10;21001;HUELVA;HUELVA;959280625;;info@viajescajasol.es;www.viajescajasol.es;INMOBILIARIA;;;;;
ANGONA ALVAREZ, CARMEN - HUELVA;PUERTO 34;21001;HUELVA;HUELVA;959252669;;;;ESTOMATOLOGOS;;;;;
HIDALGO PRADA JUAN - HUELVA;PUERTO 6;21003;HUELVA;HUELVA;959240771;;;;MEDICOS ESPECIALISTAS;;;;;
GARCIA MARTIN S.L. - HUELVA;PUERTO 7 ENTREPLANTA;21003;HUELVA;HUELVA;959241373;;;www.promocionesgarciamartin.com;CONSTRUCTORAS ;;;;;
ONUBENSE DESARROLLO INMOBILIARIO, S.A.;PUERTO 8 Y 10;21003;HUELVA;HUELVA;959263411;959242941;;;PERFUMERÕA Y COSM…TICA FABRICACI”N  ;;;;;
GABINETE ASESOR EMPRESARIAL ONUBENSE S.L. - HUELVA;PUERTO, 1;21003;HUELVA;HUELVA;959284830;;;;SERVICIOS A EMPRESAS;;;;;
PARTIDO COMUNISTA ANDALUCIA - HUELVA;PUERTO, 12;21003;HUELVA;HUELVA;959246336;;hapiru@terra.es;;TURISMO;;;;;
IZQUIERDA UNIDA LOS VERDES - CONVOCATORIA POR ANDA;PUERTO, 12;21003;HUELVA;HUELVA;959246336;;iu.huelva@izquierda-unida.es;;;;;;;
REGIO DECORACION - HUELVA;PUERTO, 24;21001;HUELVA;HUELVA;959254906;;;;DECORACION;;;;;
SACE 2010 - HUELVA;PUERTO, 25;21001;HUELVA;HUELVA;959286158;;;www.residencialcruzblanca.com;SERVICIOS A EMPRESAS;;;;;
UGT - UNION GENERAL DE TRABAJADORES - HUELVA;PUERTO, 28;21001;HUELVA;HUELVA;959244211;;info@ugt-andalucia.com;www.ugt-andalucia.com/huelva;TURISMO;;;;;
COMPA—IA GENERAL DE VIVIENDAS Y OBRAS S.L. - HUELVA;PUERTO, 32;21001;HUELVA;HUELVA;959280705;;ajcinmuebles1@infonegocio.com;;INMOBILIARIAS;;;;;
COMPA—IA GENERAL DE VIVIENDAS Y OBRAS S.L. - HUELVA;PUERTO, 32;21001;HUELVA;HUELVA;959280705;;ajcinmuebles1@infonegocio.com;;CONSTRUCCION;;;;;
ALGAIDA INGENIEROS - HUELVA;PUERTO, 33;21001;HUELVA;HUELVA;959263330;;info@algaidaingenieros.com;;INGENIERIA ;;;;;
SISTEMAS DE OFICINAS DE HUELVA, S.A.;PUERTO, 34;21001;HUELVA;HUELVA;959283744;959254925;canonsoh@tpi.infomail.es;;;;;;;
NEWPATENT, S.L.;PUERTO, 34;21001;HUELVA;HUELVA;902152575;902193596;marcas@newpatent.es;www.newpatent.es;;;;;;
ING NATIONALE NEDERLANDEN - HUELVA;PUERTO, 38;21001;HUELVA;HUELVA;959280177;;sac@ingnn.es;www.ingnn.es;;;;;;
ASETING INFORMATICA, S.L.;PUERTO, 4;21003;HUELVA;HUELVA;959282336;959282336;aseting@tpi.infomail.es;;;;;;;
VIAJES ULTRATUR;PUERTO, 49 BAJO;21001;HUELVA;HUELVA;959252811;;huelva@vincit.es;;TURISMO;;;;;
908 TELEFONIA S.L. - HUELVA;PUERTO, 53;21001;HUELVA;HUELVA;959261719;;;;TELECOMUNICACIONES;;;;;
CESTA INMOBILIARIA - HUELVA;PUERTO, 8-10;21003;HUELVA;HUELVA;959251574;;;;INMOBILIARIAS;;;;;
CAJASOL - HUELVA;PUERTO, 8-10;21003;HUELVA;HUELVA;959540055;;atencionalcliente@cajasol.es;www.cajasol.es;ALIMENTACION;;;;;
ALGAIDA INGENIEROS;PUERTO,†33                                                                      ;21001;HUELVA;HUELVA;†959263330;;algaida@arrakis.es;;ALIMENTACION;;;;;
FABRICA DE TRESILLOS GALVEZ - HUELVA;PUNTA UMBRÕA, 21;21002;HUELVA;HUELVA;959252655;;;;DECORACION;;;;;
VENTURA CAMINO CALDER”N - HUELVA;PUNTO 1 9∞-A;21003;HUELVA;HUELVA;959280175;;;;MEDICOS ESPECIALISTAS;;;;;
COMERCIAL ELECTRICA ONUBENSE, S.A.;PZ NORTE  S-N;21003;HUELVA;HUELVA;959541154;959244400;ceosa@grupoensa.com;www.grupoensa.com/espanol/grupo/geosa.html;;;;;;
AYUNTAMIENTO DE HUELVA;PZA. DE LA CONSTITUCION, S/N;21003;HUELVA;HUELVA;959210101;959210137;pdlh-gt@ayuntamientohuelva.es;;ALIMENTACION;;;;;
ENCARNA SANTANA VERANO - HUELVA;QUINTERO B¡EZ 11 3∞ D;21003;HUELVA;HUELVA;959257018;;;;CLINICAS ;;;;;
ORTIZ MORCILLO, FRANCISCO - HUELVA;R¡BIDA 27 BAJO IZDA;21001;HUELVA;HUELVA;959248707;;;;MEDICOS ESPECIALISTAS;;;;;
EXTINMAN S.L.  ;POLIG INDUSTRIAL LA GASOLINERA, S/N;18680;HUELVA;HUELVA;958610093;;motril@extinman.com;;;;;;;
LIMPIEZAS Y MANTENIMIENTOS HUELVA POLIGONO LA PAZ, 18  ;POLIG POLIGONO LA PAZ, 18;21...;HUELVA;HUELVA;959271950;;imhuelva@entorno.es;;;;;;;
HIMASUR S. A.  ;POLIG POLIGONO LA PAZ, 38;21007;HUELVA;HUELVA;959271839;;himasur@himasur.com;;ALIMENTACION;;;;;
TERRACIVIL S. A.;POLIG POLIGONO LA PAZ, 77;21007;HUELVA;HUELVA;959271452;;terracivil@hotmail.com;;SERV. JURIDICOS;;;;;
GRENCO IBERICA S.A.;POLIG POLIGONO LA PAZ, S/N;21007;HUELVA;HUELVA;959154793;;info@grencoiberica.com;;;;;;;
MANUALIDADES ANDALUZAS S.L.;POLIG POLIGONO LA PAZ, S/N;21007;HUELVA;HUELVA;959236903;959245914;infomanand@ret.es;;INMOBILIARIA;;;;;
ORONA SCL;POLIG POLIGONO LA PAZ, S/N;21007;HUELVA;HUELVA;959270860;;orona.huelva@orona.es;;;;;;;
ALIANZA DEL SUR, S.A.;POLIG. IND. C/C NAVES 92-93;21007;HUELVA;HUELVA;959367716;959367233;avilloslada@farmacen.es;;;;;;;
MARISCOS MENDEZ, S.L.;POLIG. PESQUERO NORTE, S/N;21002;HUELVA;HUELVA;959281785;959541907;info@mariscosmendez.com;;CONGELADOS PRODUCTOS ALIMENTARIOS FABRICACI”N  ;;;;;
MARISCOS MENDEZ, S.L.;POLIG. PESQUERO NORTE, S/N;21002;HUELVA;HUELVA;959281785;959541907;info@mariscosmendez.com;;INMOBILIARIA;;;;;
SERICOR - HUELVA;POLÕGONO ALGARROBITO, S/N (NAVE 29);21800;HUELVA;HUELVA;959372946;;sericor@sericor.es;www.sericor.es;PUBLICIDAD ;;;;;
JUPIBA FLOR;POLIGONO DE LAL UZ, FASE 2, NAVE 7 21007 HUELVA (HUELVA);;HUELVA;HUELVA;959271452;;jupibaflor@hotmail.com;;SALUD;;;;;
COMIN - HUELVA;POLIGONO EL RINC”N S/N - 44;21007;HUELVA;HUELVA;959233101;;;www.comin.es;INGENIERIA ;;;;;
TELAS MET¡LICAS ONUBENSES - HUELVA;POLÕGONO FORTIZ - NAVE 17;21007;HUELVA;HUELVA;959234204;;info@telasmetalicas.es;;CARPINTERIA METALICA;;;;;
TALLERES CERPA;POLIGONO IND. ALTO DE LA MESA, 4 21660 MINAS DE RIOTINTO (HUELVA);;HUELVA;HUELVA;959590414;959590414;sodoma_2p@hotmail.com;;SALUD;;;;;
ING & RES;POLIGONO IND. ALTO DE LA MESA, NAVE 3 21660 MINAS DE RIOTINTO (HUELVA);;HUELVA;HUELVA;959590130;959590079;administracion@ingyresenergia.com;;CONSTRUCCION;;;;;
IMPRENTA REAL DE LEPE;POLIGONO IND. CHORRILLO, NAVE 10 21440 LEPE (HUELVA);;HUELVA;HUELVA;959380929;959380929;imp.real@terra.es;;;;;;;
TALLER ELECTRICO DE AUTOS;POLIGONO IND. EL LIRIO, S/N 21710 BOLLULLOS PAR DEL CONDADO (HUELVA);;HUELVA;HUELVA;959410593;959410593;rojas@hotmail.com;;;;;;;
HEREDEROS HERMANOS MOYA;POLIGONO IND. EL MONETE, NAVE 1 21600 VALVERDE DEL CAMINO (HUELVA);;HUELVA;HUELVA;959550762;959555856;hnosmoya@wanadoo.es;;;;;;;
PLASTICOS CARRILLO;POLIGONO IND. EL MONETE, NAVE 80-81 21600 VALVERDE DEL CAMINO (HUELVA);;HUELVA;HUELVA;959555880;959555880;comercial@plasticoscarrillo.com;;CONSTRUCCION;;;;;
TALLERES CEDIAUTO;POLIGONO IND. EL PERAL, 2 FASE NAVE 3-4 21670 NERVA (HUELVA);;HUELVA;HUELVA;959582219;959581442;cediauto@hotmail.com;;SERV. JURIDICOS;;;;;
LAMINEX HUELVA;POLIGONO IND. EL RINCON, NAVE 29 21007 HUELVA (HUELVA);;HUELVA;HUELVA;959270442;959270476;huelva@grupolaminex.com;;;;;;;
BANDPROTEC;POLIGONO IND. EL TOMILLAR, 58 21730 ALMONTE (HUELVA);;HUELVA;HUELVA;959451364;959451146;info@bandprotec.com;;;;;;;
CEPAN, S.L.;POLIGONO IND. EL TOMILLAR, NAVE 45 21730 ALMONTE (HUELVA);;HUELVA;HUELVA;620230364;;estructuras-cepan@hotmail.com;;;;;;;
