Empresa;Direcci√≥n;CP;Ciudad;Provincia;Tel√©fono;M√≥vil;Email;Web;Sector;N. Empleados;Administrador;P.Contacto;CIF;Comentario
CONSTRUCCIONESALJANIBES.L.-BOLLULLOSDELAMITACION;AV. ALBAIDA (PARQ. IND. PIBO), 105;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776647;;;;SERVICIOS A EMPRESAS;;;;;
REHABILITACIONES ITALICA S.L. - BOLLULLOS DE LA MITACION;AV. ALBAIDA (PARQ. IND. PIBO), 105;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776596;;;;EMPRESASCONSTRUCTORAS;;;;;
TORREBLANCA ALJARAFE S.C.A. - BOLLULLOS DE LA MITACION;AV. ALJARAFE, S/N;41110;BOLLULLOS DE LA MITACION;SEVILLA;955766080;;;;ACEITUNAS:MAYORISTAS;;;;;
NATUR ALJARAFE - BOLLULLOS DE LA MITACION;AV. ALMENSILLA (PARQ. IND. PIBO), 14;41110;BOLLULLOS DE LA MITACION;SEVILLA;955692268;;naturaljarafe@gmail.com;;ALIMENTOSECOLOGICOS:DISTRIBUCION;;;;;
COMERCIALIZACION Y REPRESENTACION MU—OZ DOMINGUEZ, S.L. - BOLLULLOS DE LA MITACION;AV. ALMENSILLA (PARQ. IND. PIBO), 218;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776839;;;;CONSTRUCCIONESMECANICAS;;;;;
ALQUILERESALJARAFE-BOLLULLOSDELAMITACION;AV. ALMENSILLA (PARQ. IND. PIBO), 25;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776813;;alquileres.aljarafe@hotmail.com;;ALQUILER DE MAQUINARIA;;;;;
ALQUILERES ALJARAFE - BOLLULLOS DE LA MITACION;AV. ALMENSILLA (PARQ. IND. PIBO), 25;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776813;;alquileres.aljarafe@hotmail.com;;;;;;;
MFOPRODUCCIONESS.L.N.E.-BOLLULLOSDELAMITACION;AV. AZNALC¡ZAR (PARQ. IND. PIBO), 130;41110;BOLLULLOS DE LA MITACION;SEVILLA;955692469;;;;SERVICIOS A EMPRESAS;;;;;
A PIERNA SUELTA S.L. - BOLLULLOS DE LA MITACION;AV. AZNALC¡ZAR (PARQ. IND. PIBO), 135;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776508;;;www.apiernasuelta.es;COLCHONERIAS;;;;;
SOL CLIMA TORRES SL - BOLLULLOS DE LA MITACION;AV. AZNALC¡ZAR (PARQ. IND. PIBO), 141;41110;BOLLULLOS DE LA MITACION;SEVILLA;955692316;;;;MATERIALESDECONSTRUCCION:ALMACENES;;;;;
GRAFICUT SOLUCIONES GRAFICAS - BOLLULLOS DE LA MITACION;AV. AZNALCAZAR (PARQ. IND. PIBO), 180;41110;BOLLULLOS DE LA MITACION;SEVILLA;902107921;;info@graficut.com;www.graficut.com;;;;;;
GRAFICUTSOLUCIONESGRAFICAS-BOLLULLOSDELAMITACION;AV. AZNALC¡ZAR (PARQ. IND. PIBO), 180;41110;BOLLULLOS DE LA MITACION;SEVILLA;902107921;;info@graficut.com;;GRAFICAS;;;;;
RAMIRO ARNEDO - BOLLULLOS DE LA MITACION;AV. AZNALC¡ZAR (PARQ. IND. PIBO), 181-182;41110;BOLLULLOS DE LA MITACION;SEVILLA;954675030;;sevilla@ramiroarnedo.com;www.ramiroarnedo.com;SEMILLAS;;;;;
EDIPLANNING INGENIERIA S.L. - BOLLULLOS DE LA MITACION;AV. AZNALC¡ZAR (PARQ. IND. PIBO), 3;41110;BOLLULLOS DE LA MITACION;SEVILLA;955123553;;;;INGENIEROSINDUSTRIALES;;;;;
SURDIGRAF S.C. - BOLLULLOS DE LA MITACION;AV. BENACAZ”N (PARQ. IND. PIBO), 4;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776520;;;;ARTESGRAFICAS;;;;;
TEKNO SERVICE S.L. - BOLLULLOS DE LA MITACION;AV. BOLLULLOS DE LA MITACI”N (PARQ. IND. PIBO), 14;41110;BOLLULLOS DE LA MITACION;SEVILLA;954541212;;;;INFORMATICA:SERVICIOINTEGRAL;;;;;
PHP - BOLLULLOS DE LA MITACION;AV. BOLLULLOS DE LA MITACI”N (PARQ. IND. PIBO), 3;41110;BOLLULLOS DE LA MITACION;SEVILLA;954094400;;php@php.es;www.php.es;PISCINAS:CONSTRUCCIONYMANTENIMIENTO;;;;;
PHP - BOLLULLOS DE LA MITACION;AV. BOLLULLOS DE LA MITACI”N (PARQ. IND. PIBO), 3;41110;BOLLULLOS DE LA MITACION;SEVILLA;954094300;;php@php.es;www.php.es;CONSTRUCCION;;;;;
PROYEMDEFENSAEMPRESARIAL-BOLLULLOSDELAMITACION;AV. BOLLULLOS DE LA MITACI”N (PARQ. IND. PIBO), 70;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776595;;;;SERVICIOS A EMPRESAS;;;;;
NOVAURBANIA - BOLLULLOS DE LA MITACION;AV. BOLLULLOS DE LA MITACI”N (PARQ. IND. PIBO), 8;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776593;;info@novaurbania.es;www.novaurbania.es;ARQUITECTURAPROYECTOS:SERVICIOTECNICOYAPOYO;;;;;
BETCAT - BOLLULLOS DE LA MITACION;AV. BOLLULLOS DE LA MITACI”N (PARQ. IND. PIBO), 83;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776927;;;www.betcat.es;EMPRESASCONSTRUCTORAS;;;;;
TORRELIMONS.L.-BOLLULLOSDELAMITACION;AV. CAMAS, 102-103;41110;BOLLULLOS DE LA MITACION;SEVILLA;955692292;;;;INMOBILIARIAS;;;;;
DIBEBOLS.L.-BOLLULLOSDELAMITACION;AV. CAMAS, 14;41110;BOLLULLOS DE LA MITACION;SEVILLA;955692279;;;;SERVICIOS A EMPRESAS;;;;;
GREEN POWER TECHNOLOGIES S.L. - BOLLULLOS DE LA MITACION;AV. CAMAS, 28;41110;BOLLULLOS DE LA MITACION;SEVILLA;954184572;;greenpower@greenpower.es;www.greenpower.es;ENERGIASRENOVABLES;;;;;
TELECAN - BOLLULLOS DE LA MITACION;AV. CAMAS, 30;41110;BOLLULLOS DE LA MITACION;SEVILLA;634520339;;krisrodg@yahoo.es;;PELUQUERIASCANINAS;;;;;
HISPALENSEDEPREVENCION-BOLLULLOSDELAMITACION;AV. CAMAS, 7;41110;BOLLULLOS DE LA MITACION;SEVILLA;955692241;;;;SERVICIOS A EMPRESAS;;;;;
SOVISUR - BOLLULLOS DE LA MITACION;AV. CAMAS, 88;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776646;;sovisur@sovisur.com;www.sovisur.com;ALIMENTACION;;;;;
MUNDONATURAEVENTOSSL-BOLLULLOSDELAMITACION;AV. CASTILLEJA DE LA CUESTA (PARQ. IND. PIBO), 14;41110;BOLLULLOS DE LA MITACION;SEVILLA;954987972;;;;ORGANIZACION DE EVENTOS;;;;;
BRADALGARVE S.L. - BOLLULLOS DE LA MITACION;AV. CASTILLEJA DE LA CUESTA (PARQ. IND. PIBO), 16;41110;BOLLULLOS DE LA MITACION;SEVILLA;655420743;;bradalgarve@gmail.com;;EMPRESASCONSTRUCTORAS;;;;;
COMUNICACIONESYPRODUCCIONESDELSURS.L.-BOLLULLOSDELAMITACION;AV. CASTILLEJA DE LA CUESTA (PARQ. IND. PIBO), 178;41110;BOLLULLOS DE LA MITACION;SEVILLA;955692276;;;;SERVICIOS A EMPRESAS;;;;;
URMA - BOLLULLOS DE LA MITACION;AV. CASTILLEJA DE LA CUESTA (PARQ. IND. PIBO), 24;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776880;;;;EMPRESASCONSTRUCTORAS;;;;;
BRINNER S.A.;AV. CASTILLEJA DE LA CUESTA (PARQ. IND. PIBO), 8;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776608;;brinner@audacom.net;www.briner.es;CONSTRUCCION;;;;;
STL - SISTEMAS TECNICOS DE LOTERIAS Y APUESTAS DEL ESTADO - BOLLULLOS DE LA MITACION;AV. CONSTITUCI”N, 28;41110;BOLLULLOS DE LA MITACION;SEVILLA;955695934;;;;TELECOMUNICACION:SERVICIOS;;;;;
LORAESCALS.L.-BOLLULLOSDELAMITACION;AV. CONSTITUCI”N, 33;41110;BOLLULLOS DE LA MITACION;SEVILLA;955766395;;;;SUPERMERCADOS ;;;;;
OBRAS Y REHABILITACIONES GUADIAMAR S.L. - BOLLULLOS DE LA MITACION;AV. CONSTITUCI”N, 56;41110;BOLLULLOS DE LA MITACION;SEVILLA;955766632;;;;EMPRESASCONSTRUCTORAS;;;;;
EUROR√ìTULO;AV. DE GIN√©S, 14 (POL. IND. PIBO);;BOLLULLOS DE LA MITACION;SEVILLA;902121717;955776561;comercial@grupoingenia.net;www.eurorotulo.com;;;;;;
DODASESORES-BOLLULLOSDELAMITACION;AV. DON QUIJOTE, 17;41110;BOLLULLOS DE LA MITACION;SEVILLA;955695205;;;;INMOBILIARIAS;;;;;
PROYECTOS Y CONSTRUCCIONES DE PISCINAS BOLMIT S.L. - BOLLULLOS DE LA MITACION;AV. ESPARTINAS (PARQ. IND. PIBO), 1;41110;BOLLULLOS DE LA MITACION;SEVILLA;955692461;;stortpool@piscinastortpool.es;;PISCINAS:CONSTRUCCIONYMANTENIMIENTO;;;;;
DERMOSTYLE - BOLLULLOS DE LA MITACION;AV. ESPARTINAS (PARQ. IND. PIBO), 11-13;41110;BOLLULLOS DE LA MITACION;SEVILLA;671078955;;info@dermostyle.com;www.dermostyle.com;INSTITUTOSDEBELLEZA;;;;;
SOFA CONFORT - BOLLULLOS DE LA MITACION;AV. ESPARTINAS (PARQ. IND. PIBO), 14;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776837;;;;SOFAS:ESTABLECIMIENTOS;;;;;
PISCINAS AQUASUR SERVICIOS INTEGRALES, S.L.U. - BOLLULLOS DE LA MITACION;AV. ESPARTINAS (PARQ. IND. PIBO), 21-23;41110;BOLLULLOS DE LA MITACION;SEVILLA;955692405;;;;PISCINAS:CONSTRUCCIONYMANTENIMIENTO;;;;;
VIAJES LAY TOUR S.L. - BOLLULLOS DE LA MITACION;AV. ESPARTINAS (PARQ. IND. PIBO), 25;41110;BOLLULLOS DE LA MITACION;SEVILLA;954220030;;administracion@laytours.com;;AGENCIAS DE VIAJES ;;;;;
VIAJES LAY TOUR S.L.;AV. ESPARTINAS (PARQ. IND. PIBO), 25;41110;BOLLULLOS DE LA MITACION;SEVILLA;954220030;;administracion@laytours.com;;TURISMO;;;;;
JABUGO REAL - BOLLULLOS DE LA MITACION;AV. ESPARTINAS (PARQ. IND. PIBO), 37;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776969;;info@jabugoreal.es;www.jabugoreal.es;JAMONES;;;;;
JAVIER BENAVENTE S.L. - BOLLULLOS DE LA MITACION;AV. ESPARTINAS (PARQ. IND. PIBO), 8;41110;BOLLULLOS DE LA MITACION;SEVILLA;955692463;;;;CALZADODESE—ORAYCABALLERO:ESTABLECIMIENTOS;;;;;
JABUGO REAL S.L. - BOLLULLOS DE LA MITACION;AV. ESPARTINAS (PARQ. IND. PIBO), 9;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776884;;;;JAMONES;;;;;
INVERSIONES QUIVIR S.A. - BOLLULLOS DE LA MITACION;AV. ESPARTINAS (PARQ. IND. PIBO), 99;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776871;;;;MUEBLES:ALMACENES;;;;;
BANCO DE ANDALUCIA - BOLLULLOS DE LA MITACION;AV. ESPARTINAS (PARQ. IND. PIBO), S/N;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776867;;info@bancopopular.es;www.bancoandalucia.es;BANCOS;;;;;
URPROINS.L.-BOLLULLOSDELAMITACION;AV. ESPARTINAS (PARQ. IND. PIBO), S/N;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776915;;;;AGENCIAS DE PUBLICIDAD;;;;;
EUROROTULO - BOLLULLOS DE LA MITACION;AV. GINES (PARQ. IND. PIBO), 14;41110;BOLLULLOS DE LA MITACION;SEVILLA;902121717;;comercial@eurorotulo.com;www.eurorotulo.com;;;;;;
SIRETEL - BOLLULLOS DE LA MITACION;AV. GIN…S (PARQ. IND. PIBO), 23;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776521;;siretel@telefonica.net;;TELECOMUNICACION:INGENIERIA;;;;;
ASTENCORS.L.-BOLLULLOSDELAMITACION;AV. GIN…S (PARQ. IND. PIBO), 24;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776666;;;;FERRETERIAS;;;;;
SEDATEX S.A. - BOLLULLOS DE LA MITACION;AV. GIN…S (PARQ. IND. PIBO), 41;41110;BOLLULLOS DE LA MITACION;SEVILLA;955692336;;;;SEDERIAS;;;;;
IDEAL POOL INNOVATIONS SLP - BOLLULLOS DE LA MITACION;AV. GIN…S (PARQ. IND. PIBO), 6;41110;BOLLULLOS DE LA MITACION;SEVILLA;955510184;;;;PISCINAS:CONSTRUCCIONYMANTENIMIENTO;;;;;
TOLDOSPASCUAL-BOLLULLOSDELAMITACION;AV. GIN…S (PARQ. IND. PIBO), S/N;41110;BOLLULLOS DE LA MITACION;SEVILLA;670405219;;;;TOLDOS ;;;;;
VIVEROS NTRA. SRA. DE CUATROVITAS - BOLLULLOS DE LA MITACION;AV. JUAN PABLO II, S/N;41110;BOLLULLOS DE LA MITACION;SEVILLA;955766490;;;;VIVEROSPARAJARDINERIA;;;;;
ATFORESTAL SL - BOLLULLOS DE LA MITACION;AV. MAIRENA DEL ALJARAFE (PARQ. IND. PIBO), 20;41110;BOLLULLOS DE LA MITACION;SEVILLA;955692425;;;;JARDINERIA:MATERIALESYACCESORIOS;;;;;
URBACONSA - BOLLULLOS DE LA MITACION;AV. MAIRENA DEL ALJARAFE (PARQ. IND. PIBO), 20-24;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776804;;info@urbaconsa.es;www.urbaconsa.es;GESTIONDEPROYECTOSDEEDIFICACIONYOBRASPUBLICAS;;;;;
REDYPREVENCIONS.L.-BOLLULLOSDELAMITACION;AV. MAIRENA DEL ALJARAFE (PARQ. IND. PIBO), 25;41110;BOLLULLOS DE LA MITACION;SEVILLA;955692435;;;;EMPRESAS DE SEGURIDAD ;;;;;
INSTALACIONESELECTRICASAJELS.L.-BOLLULLOSDELAMITACION;AV. MAIRENA DEL ALJARAFE (PARQ. IND. PIBO), 26;41110;BOLLULLOS DE LA MITACION;SEVILLA;955692384;;;;ELECTRICISTAS;;;;;
DISTRIBUCIONES ALIMENTARIAS DE GINES S.L. - BOLLULLOS DE LA MITACION;AV. MAIRENA DEL ALJARAFE (PARQ. IND. PIBO), 36;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776583;;disalgi@telefonica.net;;EMBUTIDOSYFIAMBRES:FABRICANTESYMAYORISTAS;;;;;
ALJARAFE MEDIO AMBIENTE S.L. - BOLLULLOS DE LA MITACION;AV. MAIRENA DEL ALJARAFE (PARQ. IND. PIBO), 37;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776684;;;;JARDINERIA:MATERIALESYACCESORIOS;;;;;
ESINORINSTALACIONESESPECIALESS.L.-BOLLULLOSDELAMITACION;AV. MAIRENA DEL ALJARAFE (PARQ. IND. PIBO), 49;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776544;;esinor@esinor.es;;ELECTRICISTAS;;;;;
STONESURS.L.-BOLLULLOSDELAMITACION;AV. MAIRENA DEL ALJARAFE (PARQ. IND. PIBO), 8;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776754;;;;SERVICIOS A EMPRESAS;;;;;
MC OLIVO XXI S.L. - BOLLULLOS DE LA MITACION;AV. MAIRENA DEL ALJARAFE (PARQ. IND. PIBO), S/N;41110;BOLLULLOS DE LA MITACION;SEVILLA;955602176;;;www.mcolivo.com;SERVICIOSAGRICOLASYFORESTALES;;;;;
ROLLMATIC SISTEMAS DE APERTURA AUTOMATICA;AV. MAIRENA DEL ALJARAFE (PARQ. IND. PIBO), S/N;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776941;;hlpuertas@wanadoo.es;www.rollmatic.es;CONSTRUCCION;;;;;
FRIGOPAN - BOLLULLOS DE LA MITACION;AV. OLIVARES (PARQ. IND. PIBO), 2;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776612;;comercial@frigopan.com;www.frigopan.com;PANADERIAS;;;;;
DTMINTERIORISMO-BOLLULLOSDELAMITACION;AV. OLIVARES (PARQ. IND. PIBO), S/N;41110;BOLLULLOS DE LA MITACION;SEVILLA;649840464;;;;OBRA DE REFORMA;;;;;
BIGMAT HNOS. RUIZ MULERO - BOLLULLOS DE LA MITACION;AV. PILAS (PARQ. IND. PIBO), 15;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776897;;ruizmulero@bigmat.es;;MATERIALESDECONSTRUCCION:ALMACENES;;;;;
SEGURIDADYPROTECCIONDELALJARAFE-BOLLULLOSDELAMITACION;AV. PILAS (PARQ. IND. PIBO), 7;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776687;;;;EMPRESAS DE SEGURIDAD ;;;;;
ISAVAL - BOLLULLOS DE LA MITACION;AV. PILAS (PARQ. IND. PIBO), 7;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776656;;jvelazquez@isaval.es;www.isaval.es;CONSTRUCCION;;;;;
FERRETERIAYDERIVADOSDELAMADERAS.L.-BOLLULLOSDELAMITACION;AV. PILAS (PARQ. IND. PIBO), 8;41110;BOLLULLOS DE LA MITACION;SEVILLA;955725284;;;;FERRETERIAS;;;;;
HERRERA GUTIERREZ HERMANOS DISTRIBUCIONES ANDALUZAS DE ALIMENTOS S.L.L. - BOLLULLOS DE LA MITACION;AV. PILAS (PARQ. IND. PIBO), 9;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776601;;;;ALIMENTACION:DISTRIBUCION;;;;;
DOBLE M AUDIOVISUALES - BOLLULLOS DE LA MITACION;AV. PILAS (PARQ. IND. PIBO), 9 - 11;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776968;;;www.doblem.es;MAQUINASDEOFICINA;;;;;
CLUBSOCIALLAJULIANAS.L.-BOLLULLOSDELAMITACION;AV. PINAR DE LA JULIANA, S/N;41110;BOLLULLOS DE LA MITACION;SEVILLA;955766145;;;;ASOCIACIONES DEPORTIVAS;;;;;
SERVICIOSINTEGRALESAEMPRESASASICOMS.L-BOLLULLOSDELAMITACION;AV. TOMARES, 7;41110;BOLLULLOS DE LA MITACION;SEVILLA;955692450;;;;SERVICIOS A EMPRESAS;;;;;
NOVO EYRE - BOLLULLOS DE LA MITACION;AV. UMBRETE (PARQ. IND. PIBO), 34;41110;BOLLULLOS DE LA MITACION;SEVILLA;607575782;;;www.novoeyre.com;IMPERMEABILIZACIONES;;;;;
PATRIMONIAL JANO S.L. - BOLLULLOS DE LA MITACION;AV. UMBRETE (PARQ. IND. PIBO), 34;41110;BOLLULLOS DE LA MITACION;SEVILLA;955692217;;paqui@novoeyre.com;;INMOBILIARIA;;;;;
C Y G CONSULTORES - BOLLULLOS DE LA MITACION;AV. UMBRETE (PARQ. IND. PIBO), 35;41110;BOLLULLOS DE LA MITACION;SEVILLA;647635008;;richard@grupocyg.es;www.grupocyg.es;MULTISERVICIOS:EMPRESAS;;;;;
C&GCONSULTORES-BOLLULLOSDELAMITACION;AV. UMBRETE (PARQ. IND. PIBO), 35;41110;BOLLULLOS DE LA MITACION;SEVILLA;955692254;;;;SERVICIOS A EMPRESAS;;;;;
ANMIMOQUETAS-BOLLULLOSDELAMITACION;AV. UMBRETE (PARQ. IND. PIBO), 46;41110;BOLLULLOS DE LA MITACION;SEVILLA;954692258;;anmi@arrakis.es;;SERVICIOS A EMPRESAS;;;;;
TOLDOSPIBO-BOLLULLOSDELAMITACION;AV. UMBRETE (PARQ. IND. PIBO), 6;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776976;;tv@tecnologiaverde.com;;TOLDOS ;;;;;
DISTEFARDELSURS.L.-BOLLULLOSDELAMITACION;AV. UMBRETE (PARQ. IND. PIBO), 8;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776767;;;;SERVICIOS A EMPRESAS;;;;;
ALUARC-BOLLULLOSDELAMITACION;AV. UMBRETE (PARQ. IND. PIBO), PARC.63;41110;BOLLULLOS DE LA MITACION;SEVILLA;955692361;;;;CARPINTERIA METALICA;;;;;
REYAL URBIS S.A.;AVDA ALCALDE ALVARO DOMECQ, 4;11405;BOLLULLOS MITACION;SEVILLA;956326600;;jerez@urbis.es;;FABRICACI”N DE QUESOS;;;;;
TEKNOSERVICE S.L.;AVDA BOLLULLOS M (P I PIBO), 106;41110;BOLLULLOS MITACION;SEVILLA;955692250;;info@teknoservice.es;;;;;;;
