Empresa;Dirección;CP;Ciudad;Provincia;Teléfono;Móvil;Email;Web;Sector;N. Empleados;Administrador;P.Contacto;CIF;Comentario
TRANSPORTES ESPECIALES Y NORMALES RUIZ SL;;41703;DOS HERMANAS;SEVILLA;954930206;15;;;;;;;;
ALBEWORKS SOLUCIONES TECNICAS INTEGRALES SL;;41703;DOS HERMAS;SEVILLA;954930584;13;;;;;;;;
TALLERES GONZALES Y BURGOS SL;;41703;DOS HERMANAS;SEVILLA;954250502;3;;;;;;;;
COTA EXCAVACIONES Y SERVICIOS SL;;41703;DOS HERMANAS;SEVILLA;954680867;5;;;;;;;;
LORA E HIJOS SL;;41703;DOS HERMANAS;SEVILLA;954930494;17;;;;;;;;
MULTIGRAPHIC EQUIPAMIENTOS SL;;41703;DOS HERMANAS;SEVILLA;954676098;10;;;;;;;;
ALJAPARK SL;;41703;DOS HERMANAS;SEVILLA;955668353/ 608683823;4;;;;;;;;
GASINSUR SL;;41703;SEVILLA;SEVILLA;954690440;3;;;;;;;;
ILEROD INGENIERIA E INSTALACIONES SL;;41703;DOS HERMANAS;SEVILLA;639025279;4;;;;;;;;
MOSAICO SERVICIO PROFESIONALES SL;;41704;DOS HERMANAS;SEVILLA;955676029;4;;;;;;;;
ASESUR SL;;41704;DOS HERMANAS;SEVILLA;954221507/ 646490602;3;;;;;;;;
JUANA ANCIO ROMAN (TINTORERIA E.LAGUNA);;41704;DOS HERMANAS;SEVILLA;955333581;6;;;;;;;;
FRIO INDUSTRIAL NAZARENO SL;;41704;DOS HERMANAS;SEVILLA;680136083;3;;;;;;;;
(R)ZURERA Y PINEDA SL;;41704;DOS HERMANAS;SEVILLA;645939102;4;;;;;;;;
