Empresa;DirecciÃ³n;CP;Ciudad;Provincia;TelÃ©fono;MÃ³vil;Email;Web;Sector;N. Empleados;Administrador;P.Contacto;CIF;Comentario
LUMISOL ROTULACIONES - BOLLULLOS PAR DEL CONDADO;EL LIRIO C/ FRESERO 8;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;959412642;;lumisolrotulaciones@gmail.com;;GRAFICAS;;;;;
BUBULCA S.A. - BOLLULLOS PAR DEL CONDADO;FRANCISCO PÉREZ Y VACAS, 25;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;959408197;;;;INMOBILIARIAS;;;;;
JAMONES SANCHEZ;GUADALQUIVIR, 11;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;959412911;;jamonessanchez@jamonessanchez.com;www.jamonessanchez.com;;;;;;
SERGIO MARTIN LEON - BOLLULLOS PAR DEL CONDADO;HIGUERITA, 9;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;959413104;;;;CARPINTERIA METALICA;;;;;
S. C. A. FRUTOS DEL CONDADO;HOSTELERO (POL. IND. EL LIRIO), 5;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;959412886;;frutosdelcondado@telefonica.net;;;;;;;
TOLDOS DOMINGUEZ - BOLLULLOS PAR DEL CONDADO;LIMÓN, 14;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;654394748;;;;TOLDOS ;;;;;
BENJUMEA, CAMACHO, J. - BOLLULLOS PAR DEL CONDADO;LIRIO (POL. IND. EL LIRIO), 37;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;959410148;;;;CARPINTERIA METALICA;;;;;
TOLDOS HERNANDEZ - BOLLULLOS PAR DEL CONDADO;MAESTRA MARÍA JESÚS JIMÉNEZ, 36;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;691104408;;;;TOLDOS ;;;;;
MUNDO MOVIL NACHO - BOLLULLOS PAR DEL CONDADO;MARIANO AYALA, 5;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;959411555;;atencionalcliente@mundomovilnacho.com;;TELECOMUNICACIONES;;;;;
BODEGAS RAPOSO - BOLLULLOS PAR DEL CONDADO;MIGUEL HERNANDEZ, 37;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;959410565;;bodegas-raposo@terra.es;;ALIMENTACION;;;;;
BODEGAS ANDRADE EVENTOS - BOLLULLOS PAR DEL CONDADO;MIRAFLORES, S/N;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;655753765;;eventos@bodegasandrade.es;www.dehesalazorrera.com;ORGANIZACION DE EVENTOS;;;;;
CONTRUCCIONES Y REFORMAS MVR - BOLLULLOS PAR DEL CONDADO;NARANJO, 10;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;959412583;;anarivera_bollullos@hotmail.com;;SALUD;;;;;
ASOCIACION DEPORTIVA DE BILLAR BOLLULLOS - BOLLULLOS PAR DEL CONDADO;NERVA, S/N;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;959412730;;;;ASOCIACIONES DEPORTIVAS;;;;;
BICICLETAS CAMACHO SALAZAR - BOLLULLOS PAR DEL CONDADO;PIO XII, 10;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;959408382;;bicicletas-cs@wanadoo.es;;;;;;;
CONSEJO REGULADOR DE LA DENOMINACION DE ORIGEN CONDADO DE HUELVA - BOLLULLOS PAR DEL CONDADO;PL. ILDEFONSO PINTO, S/N;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;959410800;;cr@condadodehuelva.es;www.condadodehuelva.es;INFORMATICA/TELEFONIA;;;;;
GABRIEL RAMOS GARCIA - BOLLULLOS PAR DEL CONDADO;PL. OCHO DE MARZO, 2;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;959411275;;jjimenez@terciolegal.com;www.terciolegal.com;INMOBILIARIA;;;;;
GABRIEL RAMOS GARCIA - BOLLULLOS PAR DEL CONDADO;PL. OCHO DE MARZO, 2;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;959411275;;mjimenez@terciolegal.com;www.terciolegal.com;ALIMENTACION;;;;;
GABRIEL RAMOS GARCIA - BOLLULLOS PAR DEL CONDADO;PL. OCHO DE MARZO, 2;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;959411275;;ramos@terciolegal.com;www.terciolegal.com;;;;;;
AYUNTAMIENTO DE BOLLULLOS PAR DEL CONDADO;PL. SAGRADO CORAZON DE JESUS, 1;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;959412228;;ayto_bollullos@diphuelva.es;;;;;;;
DISTRIBUIDORA LAGARES MORENO S.L.;POLIGONO INDUSTRIAL EL LIRIO - FRESEROS, 2;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;959412674;;dilamorsl@hotmail.com;www.distribuidoralagaresmoreno.es;CONSTRUCCION;;;;;
ARMARIOS LIRIO;POLIGONO INDUSTRIAL EL LIRIO, S/N;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;959412102;;liriosl@gmail.com;www.alirio.es;;;;;;
CONSTRUCCIONES W DE BOLLULLOS DEL CONDADO,S.L. - BOLLULLOS PAR DEL CONDADO;RÁBIDA, 9;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;959411245;;;;ELECTRICISTAS;;;;;
LOS ANTONIOS, S.L.;RAFAEL DE LA HABA, 28;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;959412121;959408071;losantonios@losantonios.net;www.losantonios.net;INMOBILIARIA;;;;;
RS25 - BOLLULLOS PAR DEL CONDADO;RAFAEL DE LA HABA, 39;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;959413012;;959413012@959413012.e.telefonica.net;;CONSTRUCCION;;;;;
PROMOCIONES Y CONSTRCCIONES GAESTI S.L. - BOLLULLOS PAR DEL CONDADO;RESID. ROSALEJOS, 5;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;959412001;;gaest6isl@teleline.es;;;;;;;
FRUTAS MARIPI S.L.;SAGASTA, 3;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;959412062;;info@unilandsc.com;www.unilandsc.com;;;;;;
HERMANOS PEREZ MARAVER, S.L.;SAN ISIDRO, 76;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;959410374;;hermanos.perezmaraver.pa@allianz.es;;CONSTRUCCION;;;;;
BODEGA COOPERATIVA VINICOLA DEL CONDADO - BOLLULLOS PAR DEL CONDADO;SAN JOSE, 2;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;959410261;;info@vinicoladelcondado.com;www.vinoladelcondado.com;AUTOMOVIL;;;;;
CORCHOS DEL CONDADO S.L.;CNO VIEJO, S/N;21710;BOLLULLOS PAR CONDADO;HUELVA;959413183;;comercial@corchosdelcondado.com;;INFORMATICA/TELEFONIA;;;;;
CORCHOS DEL CONDADO S.L.  ;CNO VIEJO, S/N;21710;BOLLULLOS PAR CONDADO;HUELVA;959413183;;corchosjs@wanadoo.es;www.corchosdelcondado.com;CONSTRUCCION;;;;;
SANTIAGO PEREA S.L.;CRUZ DE MONTAÑINA, 2;21710;BOLLULLOS PAR CONDADO;HUELVA;959410231;;;;ALIMENTACIÓN;;;;;
SOCIEDAD AGRICOLA DE TRANSFORMACION SOL CONDADO  ;EL PENDIQUE, 1;21710;BOLLULLOS PAR CONDADO;HUELVA;959412186;;solcondado@telefonica.net;;;;;;;
FRESAS DE HUELVA S.L.;FRESEROS (P I EL LIRIO), S/N;21710;BOLLULLOS PAR CONDADO;HUELVA;959412255;959412255;fresasdehuelva@fresasdehuelva.com;;INFORMATICA/TELEFONIA;;;;;
DINSUR 21 S.L.;FRESEROS, 3 - POL. IND. LIRIO;21710;BOLLULLOS PAR CONDADO;HUELVA;959413846;;;;BEBIDA ESTABLECIMIENTO ;;;;;
CONGRASUR;GOBERNADOR ALONSO, 2, 2 B-C;21003;BOLLULLOS PAR CONDADO;HUELVA;959282809;959280296;1congrasur@telefonica.net;;ESTIBADORES Y DISTRIBUCIÓN DE PRODUCTOS A GRANEL;;;;;
COOP. CORDOBESAS DE ENSEÑANZAS MEDIAS, S.C.A.;JOAQUIN JOSE DA SILVA XAVIER, 1;14013;BOLLULLOS PAR CONDADO;HUELVA;957200000;957200100;info@ramonycajal.net;www.ramonycajal.net;;;;;;
CAMACHO E HIJOS S.A.;LABRADORES (P I EL LIRIO), S/N                                                  ;21710;BOLLULLOS PAR CONDADO;HUELVA; 959408087;;central@camachoehijos.com;;;;;;;
CORE-ONUVA S.C.;LIRIO (P I EL LIRIO), 1                                                         ;21710;BOLLULLOS PAR CONDADO;HUELVA; 959413190;;huelva@grupo-core.com;;;;;;;
SOLIS DEL TORO ALBERTO;M AYALA, 1                                                                      ;21710;BOLLULLOS PAR CONDADO;HUELVA; 959408021;;fototripode@terra.es;;;;;;;
CORCHOS RAFAEL FERNANDEZ S.L.  ;MURO, S/N;21209;BOLLULLOS PAR CONDADO;HUELVA;959120268;;info@raffercor.com;www.raffercor.com;TAPONES Y ARTÍCULOS DE CORCHO;;;;;
BODEGA DOÑANA S.L.;PAR LIRIO, 2;21710;BOLLULLOS PAR CONDADO;HUELVA;959411513;;bodegasdonana@infodonana.com;;;;;;;
IMPRESOS EN CONTINUO, S.A.;PG INDUSTRIAL SAN NICOLAS  PAR B 6;41500;BOLLULLOS PAR CONDADO;HUELVA;955630600;955631004;imprecontsa@interbook.net;www.imprecontsa.es;CONSTRUCCION;;;;;
BODEGAS INFANTE S.L.  ;PLAZA MAGDALENA DE LA, 4;21700;BOLLULLOS PAR CONDADO;HUELVA;959400147;;dinfante@dinfante.com;;PRODUCTORES RECOLECTORES VENTA DIRECTA DE VINOS;;;;;
MARTINEZ ROJAS JOSE;POL IND EL LIRIO, S/N;21710;BOLLULLOS PAR CONDADO;HUELVA;959410593;;martinezrojas@eurotaller.com;;INMOBILIARIA;;;;;
THERMICONDADO;PROLONGACIÓN C/ MÉXICO, S/N  POL. IND. EL LIRIO ;21710;BOLLULLOS PAR CONDADO;HUELVA;959401823;;;;MATERIAIS DE CONSTRUÇÃO;;;;;
TELECONDADO S.L.;RABIDA, 122                                                                     ;21710;BOLLULLOS PAR CONDADO;HUELVA; 959413159;;telecondado@hotmail.com;;INFORMATICA/TELEFONIA;;;;;
LOS ANTONIOS S.L.;RAFAEL DE LA HABA, 28;21710;BOLLULLOS PAR CONDADO;HUELVA;959412121;;;;ALIMENTACIÓN;;;;;
S.C.A. HORTOFRUTICOLA DE BONARES;RIOS 19 BJ;21830;BOLLULLOS PAR CONDADO;HUELVA;959366133;959366316;bonafru@caymasa.es;;EXTRACCIÓN DE ACEITE DE OLIVA Y VENTA AL MAYOR DE ACEITUNAS ;;;;;
S.C.A. HORTOFRUTICOLA DE BONARES;RIOS 19 BJ;21830;BOLLULLOS PAR CONDADO;HUELVA;959366133;959366316;bonafru@caymasa.es;;CONSTRUCCION;;;;;
SDAD. COOP. ANDALUZA DE COMERCIALIZACION;POL. EL LIRIO, S/N.;21710;BOLLULLOS DEL CONDADO;HUELVA;959412727;959412778;frudelco@intercom.es;;TEXTIL;;;;;
CEFERINO RODRIGUEZ VILLASEÑOR - BEAS;COLÓN, 0;21630;BEAS;HUELVA;959308654;;;;AUTOESCUELAS;;;;;
CLARINES - BEAS;COLÓN, 9;21630;BEAS;HUELVA;959308938;;;;FERRETERIAS ;;;;;
MONTAJES E INSTALACIONES JOYMA S.L.  ;CONCEJO, 9;21630;BEAS;HUELVA;959309005;;maypaslu@yahoo.es;;;;;;;
CLINICA DENTAL MANUEL MÁRQUEZ MORA - BEAS;CRUZ VERDE 56;21630;BEAS;HUELVA;959308773;;odnmanuel@hotmail.com;;ESTOMATOLOGOS;;;;;
RESIDENCIA DE ANCIANOS NUESTRA SEÑORA DE LOS CLARINES;CTRA CANDON, S/N;21630;BEAS;HUELVA;959308747;;rclarines@terra.es;;AUTOMOVIL;;;;;
J. ROSILLO SAYAGO, S.A.;DIEGO VELAZQUEZ, 17;21630;BEAS;HUELVA;959367880;959367771;jrs@tpi.infomail.es;;BANCOS Y CAJAS;;;;;
FERRETERIA ABUELO PEPE - BEAS;DON PEDRO DÍAZ, 19;21630;BEAS;HUELVA;959308008;;abuelo_pepe@homail.com;;FERRETERIAS;;;;;
FONTAFRIO;FONTANILLAS, 50;21630;BEAS;HUELVA;959309830;;fontafrio@terra.es;;CONSTRUCCION;;;;;
CENTRO DE SERVICIOS SOCIALES DE BEAS - BEAS;SAN BARTOLOME, 15;21630;BEAS;HUELVA;959309835;;servicio.local@aytobeas.es;;;;;;;
;;;;;;;;;;;;;;
