Empresa;DirecciÃ³n;CP;Ciudad;Provincia;TelÃ©fono;MÃ³vil;Email;Web;Sector;N. Empleados;Administrador;P.Contacto;CIF;Comentario
ABADIZ - DOS HERMANAS;AV. LIBERTAD, -3;41703;DOS HERMANAS;SEVILLA;954721645;;fjabarbero@abadiz.es;www.abadiz.es;;;;;;
VANAUTO - DOS HERMANAS;AV. LIBERTAD, 5;41703;DOS HERMANAS;SEVILLA;955050760;;comercial@vanauto.es;www.vanauto.es;AUTOMOVILES:CONCESIONARIOS;;;;;
EL CAMPITO - DOS HERMANAS;AV. LIBERTAD, 58;41703;DOS HERMANAS;SEVILLA;954680765;;;;TERCERA EDAD ;;;;;
LEFLET VALME - DOS HERMANAS;AV. LIBERTAD, 6;41703;DOS HERMANAS;SEVILLA;955679292;;hotelesleflet@hotmail.com;;HOTELES;;;;;
GALISES SL - DOS HERMANAS;AV. LIBERTAD, S/N;41703;DOS HERMANAS;SEVILLA;954721629;;;;ESTACIONESDESERVICIO;;;;;
ASOC.PARALITICOS CEREBRALES - DOS HERMANAS;AV. LIBERTAD, S/N;41703;DOS HERMANAS;SEVILLA;955675591;;aspace@aspacesevilla.e.telefonica.net;;;;;;;
EL HORNO - DOS HERMANAS;AV. LOS GIRASOLES, LOCAL 38 -39;41703;DOS HERMANAS;SEVILLA;955660905;;;;CRUASANTERIASPASTELERIA;;;;;
TECNOCASA-DOSHERMANAS;AV. MADRE PAULA MONTALT, 65;41089;DOS HERMANAS;SEVILLA;954126111;;sebb2@tecnocasa.es;;INMOBILIARIAS;;;;;
TECNOCASA - DOS HERMANAS;AV. MADRE PAULA MONTALT, 65;41089;DOS HERMANAS;SEVILLA;954126111;;sebb2@tecnocasa.es;www.tecnocasa.com;INMOBILIARIA;;;;;
BIBLIOTECA PUBLICA PROVINCIAL;AV. MARIA LUISA, 8;41013;DOS HERMANAS;SEVILLA;954622029;;bpse@olmo.pntic.mec.es;;BIBLIOTECA ;;;;;
CELOPMUJERMODASS.L.-DOSHERMANAS;AV. MONTEQUINTO, S/N;41089;DOS HERMANAS;SEVILLA;955690848;;;;ROPA LABORAL ;;;;;
NAGEIN - DOS HERMANAS;AV. MOTILLA, S/N;41703;DOS HERMANAS;SEVILLA;954728812;;niegan@terra.es;;INMOBILIARIAS;;;;;
ESCUELA DE EQUITACION PRODECA - DOS HERMANAS;AV. OLIVOS, 31;41702;DOS HERMANAS;SEVILLA;649486698;;prodeca@famotos.com;;BOUTIQUES;;;;;
JOSE MANUEL MONTAÑO GUERRERO - DOS HERMANAS;AV. PINOS, 1-A;41089;DOS HERMANAS;SEVILLA;954125046;;joselegal@telefonica.net;;SERV. JURIDICOS;;;;;
COMPAÑIADEREPROGRAFIAEINFORMATICADELHENARESS.A.-DOSHERMANAS;AV. PINOS, 4;41089;DOS HERMANAS;SEVILLA;955690019;;;;ESTABLECIMIENTOS COMERCIALES;;;;;
ABESAMI - DOS HERMANAS;AV. PIRRALOS, 1;41701;DOS HERMANAS;SEVILLA;954721800;;;;POLLOSASADOS;;;;;
FARMACIA VILLADEAMIGO - DOS HERMANAS;AV. PIRRALOS, 100;41702;DOS HERMANAS;SEVILLA;954721001;;;;FARMACIAS;;;;;
ASCENSION MILLAN DIAZ - DOS HERMANAS;AV. PIRRALOS, 102;41702;DOS HERMANAS;SEVILLA;954721201;;;;FERRETERIAS ;;;;;
VIAJES EL CORTE INGLES S.A. - DOS HERMANAS;AV. PIRRALOS, 11;41701;DOS HERMANAS;SEVILLA;955669415;;servicio_clientes@elcorteingles.es;;AGENCIAS DE VIAJES ;;;;;
VICENTE MARTINEZ DOBLADO - DOS HERMANAS;AV. PIRRALOS, 118;41702;DOS HERMANAS;SEVILLA;954728602;;;;DROGUERIAS:ESTABLECIMIENTOS;;;;;
DANCRISUR LIMPIEZAS Y MANTENIMIENTOS S.L. - DOS HERMANAS;AV. PIRRALOS, 120;41702;DOS HERMANAS;SEVILLA;954722896;;dancrisur@yahoo.es;www.dancrisur.es;;;;;;
ALUMIIOS SAN PABLO S.L. - DOS HERMANAS;AV. PIRRALOS, 21;41701;DOS HERMANAS;SEVILLA;954724025;;;;CRISTALERIAS;;;;;
MANUALIDADES BELLAS ARTES PUERTO - DOS HERMANAS;AV. PIRRALOS, 36;41701;DOS HERMANAS;SEVILLA;955663808;;;;MANUALIDADES:ARTICULOS;;;;;
CARIBBEAN - DOS HERMANAS;AV. PIRRALOS, 42;41701;DOS HERMANAS;SEVILLA;955678709;;doshermanas@caribbeanviajes.com;www.caribbeanviajes.com;AGENCIAS DE VIAJES ;;;;;
VIAJALIAMPGS.L.-DOSHERMANAS;AV. PIRRALOS, 42;41701;DOS HERMANAS;SEVILLA;954721479;;;;AGENCIAS DE VIAJES;;;;;
CANGREJOCHINIJO-DOSHERMANAS;AV. PIRRALOS, 44;41701;DOS HERMANAS;SEVILLA;955082946;;;;SERIGRAFIAS ;;;;;
ZAFIRO TOURS - DOS HERMANAS;AV. PIRRALOS, 45;41701;DOS HERMANAS;SEVILLA;955660733;;doshermanas@zafirotours.es;www.doshermanas.zafirotours.es;AGENCIAS DE VIAJES ;;;;;
MUEBLES FEYMA S.C.P. - DOS HERMANAS;AV. PIRRALOS, 46;41701;DOS HERMANAS;SEVILLA;955663653;;;;MUEBLES:FABRICANTESYMAYORISTAS;;;;;
JOSE ANTONIO GALEY GUILLEN - DOS HERMANAS;AV. PIRRALOS, 48;41701;DOS HERMANAS;SEVILLA;955676711;;info@fitnes-spain.com;www.fitnes-spain.com;NUTRICIONDEPORTIVAPRODUCTOS:ESTABLECIMIENTOS;;;;;
CARNICAS LA VICTORIA S.C. - DOS HERMANAS;AV. PIRRALOS, 54;41701;DOS HERMANAS;SEVILLA;955668176;;;;CARNICERIAS;;;;;
JOSE GARCIA GALLEGO - DOS HERMANAS;AV. PIRRALOS, 55;41701;DOS HERMANAS;SEVILLA;955678885;;;;ALIMENTACION:DISTRIBUCION;;;;;
ALFIL GRUPO INMOBILIARIO,S.L. - DOS HERMANAS;AV. PIRRALOS, 62 A;41702;DOS HERMANAS;SEVILLA;955082912;;gi@hotmeil.com;;INMOBILIARIAS;;;;;
ALFIL GRUPO INMOBILIARIO,S.L. - DOS HERMANAS;AV. PIRRALOS, 62-64;41702;DOS HERMANAS;SEVILLA;955081010;;alfil_gi@hotmail.com;;INMOBILIARIA;;;;;
AUTOR PAPELERIA - DOS HERMANAS;AV. PIRRALOS, 63;41702;DOS HERMANAS;SEVILLA;955668207;;autor@autor-multimedia.com;www.autor-multimedia.com;EDICIONESENMULTIMEDIA;;;;;
TEJIDOS EL METRO - DOS HERMANAS;AV. PIRRALOS, 64;41702;DOS HERMANAS;SEVILLA;954726017;;;;TEJIDOS:ESTABLECIMIENTOS;;;;;
FERRIMADERA;AV. PIRRALOS, 70;41702;DOS HERMANAS;SEVILLA;955664938;;info@ferrimadera.com;www.ferrimadera.com;CONSTRUCCION;;;;;
LA TABERNA EL LAUREL - DOS HERMANAS;AV. PIRRALOS, 71;41702;DOS HERMANAS;SEVILLA;955668274;;salaslaurel61@yahoo.com;;HOSTELERIA;;;;;
RIVAS PEREZ S.L. - DOS HERMANAS;AV. PIRRALOS, 71-E;41702;DOS HERMANAS;SEVILLA;955664377;;;;HUEVOS:MAYORISTAS;;;;;
MUEBLES POSTIGO - DOS HERMANAS;AV. PIRRALOS, 77;41702;DOS HERMANAS;SEVILLA;954721987;;;;ELECTRODOMESTICOS;;;;;
ALMACENES RUSILLOS S.L. - DOS HERMANAS;AV. PIRRALOS, 80;41702;DOS HERMANAS;SEVILLA;955661370;;;;BAZARES;;;;;
AZAHAR - DOS HERMANAS;AV. PIRRALOS, 84;41702;DOS HERMANAS;SEVILLA;954724019;;;;IMPRENTAS;;;;;
JOYA - ARTE MARTIN - DOS HERMANAS;AV. PIRRALOS, 92;41702;DOS HERMANAS;SEVILLA;954727314;;;www.joyeriaartemartin.es.vg;JOYERIA:ESTABLECIMIENTOS;;;;;
M&R INFORMATICA - DOS HERMANAS;AV. PIRRALOS, 98;41702;DOS HERMANAS;SEVILLA;955081367;;;www.tolymartronic.com;INFORMATICA:SERVICIOSAEMPRESAS;;;;;
ANA MARIA NAVARRO CHACON - DOS HERMANAS;AV. PORTADAS, 6;41703;DOS HERMANAS;SEVILLA;954727600;;;;ESTANCOS;;;;;
SUPERMERCADOS DOS S.L. - DOS HERMANAS;AV. PRIMERA, 2;41703;DOS HERMANAS;SEVILLA;954722568;;;;SUPERMERCADOSEHIPERMERCADOS;;;;;
ACEITUNERA SEGORBINA - DOS HERMANAS;AV. RAMÓN Y CAJAL, 28;41704;DOS HERMANAS;SEVILLA;954721116;;emartinmorro@infonegocio.com;;ACEITUNAS:MAYORISTAS;;;;;
DOSHERMANASCLUBDEFUTBOL-DOSHERMANAS;AV. RAMÓN Y CAJAL, S/N;41700;DOS HERMANAS;SEVILLA;955663358;;doshermanascf@hotmail.com;;OFIMATICA;;;;;
VIAJES AGRANDA;AV. REYES CATOLICOS, 1;41702;DOS HERMANAS;SEVILLA;954721306;;viajesabaranda@gruposercom.com;www.abaranda.com;TURISMO;;;;;
VIAJES AGRANDA - DOS HERMANAS;AV. REYES CATÓLICOS, 1;41702;DOS HERMANAS;SEVILLA;954721306;;viajesabaranda@gruposercom.com;www.abaranda.com;AGENCIAS DE VIAJES ;;;;;
LA CAIXA - DOS HERMANAS;AV. REYES CATÓLICOS, 105;41702;DOS HERMANAS;SEVILLA;954798290;;servicio.cliente@lacaixa.es;www.lacaixa.es;CAJASDEAHORROS;;;;;
CONFECCIONES HERRERA - DOS HERMANAS;AV. REYES CATÓLICOS, 106;41702;DOS HERMANAS;SEVILLA;954720203;;;;TIENDASDEROPADESEÑORAYCABALLERO;;;;;
MERCERIA ANITA - DOS HERMANAS;AV. REYES CATÓLICOS, 112;41702;DOS HERMANAS;SEVILLA;955662379;;;;MERCERIAS:ESTABLECIMIENTOS;;;;;
AVENIDA - DOS HERMANAS;AV. REYES CATÓLICOS, 114;41702;DOS HERMANAS;SEVILLA;954729543;;;;PAPELERIA:ESTABLECIMIENTOS;;;;;
CENTRO OPTICO MIGUEL PASTOR - DOS HERMANAS;AV. REYES CATÓLICOS, 120;41702;DOS HERMANAS;SEVILLA;954726122;;miguelpastor@alehop.com;;GIMNASIOS;;;;;
BASCON GALBIS S.L. - DOS HERMANAS;AV. REYES CATÓLICOS, 22;41702;DOS HERMANAS;SEVILLA;954725261;;;;INMOBILIARIAS;;;;;
VALLESUR VIAJES - DOS HERMANAS;AV. REYES CATÓLICOS, 24;41702;DOS HERMANAS;SEVILLA;955669494;;vallesur@plantour.es;www.plantour.es;AGENCIAS DE VIAJES ;;;;;
NUEVOHOGAR - DOS HERMANAS;AV. REYES CATÓLICOS, 24;41702;DOS HERMANAS;SEVILLA;955082893;;nuevohogardh@hotmail.com;;INMOBILIARIA;;;;;
VIAJES TRAVIA S.L.;AV. REYES CATOLICOS, 30;41702;DOS HERMANAS;SEVILLA;954726094;;splusdoshermanas@gruposercom.com;;TURISMO;;;;;
VIAJES TRAVIA S.L. - DOS HERMANAS;AV. REYES CATÓLICOS, 30;41702;DOS HERMANAS;SEVILLA;954726094;;splusdoshermanas@gruposercom.com;;AGENCIAS DE VIAJES ;;;;;
SANCHEZVENEGAS;AV. REYES CATÓLICOS, 37;41702;DOS HERMANAS;SEVILLA;955662249;;;;ASEGURADORAS;;;;;
LINNEO - DOS HERMANAS;AV. REYES CATÓLICOS, 51;41702;DOS HERMANAS;SEVILLA;955669800;;linneoflor@hotmail.com;;FLORISTERIAS;;;;;
JAMONES Y PALETAS MOÑINO - DOS HERMANAS;AV. REYES CATÓLICOS, 52;41702;DOS HERMANAS;SEVILLA;955663346;;;;JAMONES;;;;;
VARELA Y RODRIGUEZ MOTOR - DOS HERMANAS;AV. REYES CATÓLICOS, 77;41702;DOS HERMANAS;SEVILLA;955663425;;;;TALLERESMECANICOSPARAVEHICULOS;;;;;
PEPAYLOLA - DOS HERMANAS;AV. REYES CATÓLICOS, 82;41702;DOS HERMANAS;SEVILLA;955676439;;;;TIENDASDEROPADESEÑORAYCABALLERO;;;;;
MULTIPRECIO LOS DALMATAS S.L. - DOS HERMANAS;AV. REYES CATÓLICOS, 93;41702;DOS HERMANAS;SEVILLA;955667084;;;;BAZARES;;;;;
BOGOTA-DOSHERMANAS;AV. SAN JOSÉ DE CALASANZ, 1;41089;DOS HERMANAS;SEVILLA;954120528;;;;AUTOESCUELAS;;;;;
LIDEXTELECOMSL-DOSHERMANAS;AV. SAN JOSÉ DE CALASANZ, 11;41089;DOS HERMANAS;SEVILLA;954129013;;;;TELECOMUNICACIONES;;;;;
TABLEROS Y PUENTES S.A. - DOS HERMANAS;AV. SAN JOSÉ DE CALASANZ, 7;41089;DOS HERMANAS;SEVILLA;954129154;;sevilla@tapusa.es;;INMOBILIARIA;;;;;
GRANADOEHIJOSS.L.-DOSHERMANAS;AV. SEVILLA, 17;41701;DOS HERMANAS;SEVILLA;954721971;;;;CARPINTERIA METALICA;;;;;
CONFOSER ANDALUCIA S.L. - DOS HERMANAS;AV. SEVILLA, 41;41701;DOS HERMANAS;SEVILLA;955333522;;;;MUEBLES:ALMACENES;;;;;
CUADROSELECTRICOSNAZARENOSS.L.-DOSHERMANAS;AV. SEVILLA, 43;41701;DOS HERMANAS;SEVILLA;955675988;;cenazarenos@cenazarenos.com;;ENERGIA ELECTRICA;;;;;
JUAN GARCIA ROS - DOS HERMANAS;AV. SEVILLA, 49;41701;DOS HERMANAS;SEVILLA;955660795;;ros_abogado@telefonica.net;;SERV. JURIDICOS;;;;;
JOSE RAMON POLO MORENO - DOS HERMANAS;AV. SOL, 31;41703;DOS HERMANAS;SEVILLA;955674026;;;;ACEITUNAS:MAYORISTAS;;;;;
GERTRUDIS LEON LORA - DOS HERMANAS;AV. SOL, 36;41703;DOS HERMANAS;SEVILLA;954726142;;;;LIBRERIAS;;;;;
C.E.E. EL MOLINILLO;AV. TRABAJO, 6;14550;DOS HERMANAS;SEVILLA;957652005;;14007106@averroes.cec.junta-andalucia.es;;CENTROS DE DISCAPACITADOS;;;;;
C.E.E. EL MOLINILLO;AV. TRABAJO, 6;14550;DOS HERMANAS;SEVILLA;957652005;;14007106@averroes.cec.junta-andalucia.es;;;;;;;
EL QUIJOTE SERIGRAFIA PUBLICITARIA S.L. - DOS HERMANAS;AV. TRIUNFO, S/N;41703;DOS HERMANAS;SEVILLA;955662648;;;;GRAFICAS;;;;;
CEIPANAMARIAMATUTE-DOSHERMANAS;AV. VASCO NÚÑEZ DE BALBOA, S/N;41089;DOS HERMANAS;SEVILLA;955623535;;;;ESCUELAS PUBLICAS ;;;;;
PARROQUIA NUESTRA SEÑORA DE LA OLIVA;AV. VEINTIOCHO DE FEBRERO, 16;41700;DOS HERMANAS;SEVILLA;955665962;;;;ADMINISTRACIÓN Y INSTITUCIONES ;;;;;
JOSE PALOMO NAVARRO - DOS HERMANAS;AV. VEINTIOCHO DE FEBRERO, 23;41702;DOS HERMANAS;SEVILLA;954720686;;;;MATERIALESDECONSTRUCCION:ALMACENES;;;;;
MADEKIT - DOS HERMANAS;AV. VEINTIOCHO DE FEBRERO, 30;41702;DOS HERMANAS;SEVILLA;955660495;;rotulosexpress@telefonica.net;;GRAFICAS;;;;;
TECNOSIS S.A. - DOS HERMANAS;AV. VEINTIOCHO DE FEBRERO, 4;41702;DOS HERMANAS;SEVILLA;955674286;;;;SERVICIOS A EMPRESAS;;;;;
MOTORDOS;AV. VEINTIOCHO DE FEBRERO, 5;41700;DOS HERMANAS;SEVILLA;955665000;;motordos@arrakis.es;;AUTOMOVIL;;;;;
DHSERVICIOSINTEGRALESJURIDICOSEINMOBILIARIOSS.L.;AVDA AMERICA  DE , 6;18006;DOS HERMANAS;SEVILLA;958128600;;dh@dhservicio.com;www.dhservicio.com;INMOBILIARIA AGENCIAS ;;;;;
DH SERVICIOS INTEGRALES JURIDICOS E INMOBILIARIOS S.L.  ;AVDA AMERICA  DE , 6;18006;DOS HERMANAS;SEVILLA;958128600;;dh@dhservicio.com;www.dhservicio.com;INMOBILIARIA;;;;;
FUNDACION SOCIOLABORAL ANDALUCIA;AVDA ANDALUCIA, 82;41700;DOS HERMANAS;SEVILLA; 955677070;;fsla.central@fsl-andalucia.org;;;;;;;
RUIZRIVASESTHER;AVDA ANTONIO TORE TORE, S/N;29740;DOS HERMANAS;SEVILLA;952547221;;tore01@tore-ig.com;www.tore-ig.com;NOTARIOS;;;;;
ASESSISTEMADEINFORMATICAS.L.;AVDA ARROYO DE LOS ANGELES, 13;29011;DOS HERMANAS;SEVILLA;952309944;;asinform@telefonica.net;;INFORMÁTICA ESTUDIOS SERVICIOS ASESORÍA FORMACIÓN ;;;;;
P Y C TORRECRUZ S.A.;AVDA BLAS INFANTE, 49;41710;DOS HERMANAS;SEVILLA;954860235;;torrecrux@teleline.com;;PERITOS MARÍTIMOS;;;;;
INVERSIONES PACRIBA C.B.;AVDA CANARIAS, 106;04738;DOS HERMANAS;SEVILLA;950555383;;pacriba@larural.es;;INMOBILIARIA AGENCIAS ;;;;;
SAMUEL ROMERO PEREZ  ;AVDA CRISTOBAL COLON, 27;41700;DOS HERMANAS;SEVILLA;955663839;;exportdriver@terra.es;;AUTOMOVIL;;;;;
VALDELVIRA MOTOR S.L.  ;AVDA CRISTOBAL COLON, 33;41700;DOS HERMANAS;SEVILLA;955669651;;valdelviramotor@hotmail.com;;AUTOMOVIL;;;;;
ABRAHAMYDIEGOASESORESS.L.;AVDA CRISTOBAL COLON, 43;41700;DOS HERMANAS;SEVILLA;954727676;;;;ABOGADOS;;;;;
ABRAHAM Y DIEGO ASESORES S.L.  ;AVDA CRISTOBAL COLON, 43;41700;DOS HERMANAS;SEVILLA;955667559;;abraham@abdasesores.com;;SERV. JURIDICOS;;;;;
MAPFRE AVDA. DIPUTACION, 4;AVDA DIPUTACION  DE LA , 4;11550;DOS HERMANAS;SEVILLA;956372272;;jimanto@mapfre.com;;INSTALACIONES COMPLETAS PARA LA INDUDTRIA ALIMENTARIA ;;;;;
MAPFRE AVDA. DIPUTACION, 4  ;AVDA DIPUTACION  DE LA , 4;11550;DOS HERMANAS;SEVILLA;956372272;;jimanto@mapfre.com;;ALIMENTACION;;;;;
ROMAINVERSIONYGESTIONS.L;AVDA ESPAÑA  DE , 48;41700;DOS HERMANAS;SEVILLA;955667273;;romacon@grupobbva.net;;ASESORÍA SOBRE COMUNICACIÓN DE EMPRESAS;;;;;
ESTUDIO VISTAZUL 2001 S.L.  ;AVDA ESPAÑA (DE), 135;41700;DOS HERMANAS;SEVILLA;955675949;;sebb3@tecnocasa.es;;INMOBILIARIA;;;;;
MARAKKANA DECORACION SL  ;AVDA ESPAÑA (DE), 171;41700;DOS HERMANAS;SEVILLA;955676029;;dmaracana@telefonica.net;;CONSTRUCCION;;;;;
CARRIZOSA GOMEZ S.L.U.  ;AVDA ESPAÑA (DE), 32;41700;DOS HERMANAS;SEVILLA;955677416;;carrizosagomez@carrizosasl.com;;;;;;;
CARRIZOSA GOMEZ S.L.U.;AVDA ESPAÑA (DE), 32;41700;DOS HERMANAS;SEVILLA;955332282;;info@carrizosasl.com;;;;;;;
VALVERDE LABORDE MARIA DEL VALLE;AVDA ESPAÑA (DE), 4;41700;DOS HERMANAS;SEVILLA;955677746;;anika19@msn.com;;SALUD;;;;;
ROMA INVERSION Y GESTION S.L  ;AVDA ESPAÑA (DE), 48;41700;DOS HERMANAS;SEVILLA;955667273;;romacon@grupobbva.net;;SERV. JURIDICOS;;;;;
DIDATECNIA S.L.  ;AVDA ESPAÑA (DE), 6;41700;DOS HERMANAS;SEVILLA;955668502;;correo@didatecnia.com;;;;;;;
SERRATO RUIZ MARIA DEL MAR;AVDA ESPAÑA (DE), 78;41700;DOS HERMANAS;SEVILLA;955677048;;nuevo-stylo@terra.es;;;;;;;
CONOCIO NAZARENO S.L.  ;AVDA ESPAÑA (DE), 79;41700;DOS HERMANAS;SEVILLA;955664055;;viajesconocio@giramundo.es;;TURISMO;;;;;
VIAJES ECUADOR, S.A;AVDA ESPAÑA, 78 LOC-C;41700;DOS HERMANAS;SEVILLA;955675381;;doshermanas2@viajesecuador.net;;TURISMO;;;;;
LABORATORIOS ALEX, S L;AVDA ESTRECHO  DEL , 5;11206;DOS HERMANAS;SEVILLA;956630499;;contralab@telefonica.net;;FABRICACIÓN DE DIFERENTES PRODUCTOS FITOSANITARIOS PARA EL TRATAMIENTO Y CONTROL DE PLAGAS ;;;;;
YUNQUEMETALS.L.;AVDA FENICIA, 1;18690;DOS HERMANAS;SEVILLA;958881984;;yuque-muebles@hotmail.com;;FABRICACIÓN DE PAPEL PARA EMBALAR;;;;;
RESTREPOPOSSOERIKA;AVDA GRANADA, 37;23001;DOS HERMANAS;SEVILLA;953240011;;multiserviciolj@telefonica.net;;SERVICIOS DE PUBLICIDAD ;;;;;
G.S.M.IRIDIUMFUENGIROLAS.L.;AVDA JESUS SANTOS REIN, 17;29640;DOS HERMANAS;SEVILLA;952663797;;gsm_iridium@teleline.es;;SERVICIOS GSM;;;;;
FRAGOSO CAÑAMERO CARLOS;AVDA JUAN PABLO II, 14;41700;DOS HERMANAS;SEVILLA;955668849;;central@beymar.com;www.beymar.com;;;;;;
ALFONSO ALVAREZ CARLOS;AVDA JUAN PABLO II, 22;41700;DOS HERMANAS;SEVILLA;954720086;;ca.alfonso@lycos.es;;INMOBILIARIA;;;;;
TR HOTEL LA MOTILLA S.L.;AVDA MOTILLA (DE LA), S/N;41700;DOS HERMANAS;SEVILLA;955666816;;hmotilla@teleline.es;;HOSTELERIA Y RESTAURACION;;;;;
CONRADO CEPEDELLO JUAN;AVDA NUESTRA SEÑORA DEL CARMEN, 15;14100;DOS HERMANAS;SEVILLA;957301854;;conradosport@hotmail.com;;ASOCIACIONES Y CLUBS DEPORTIVOS;;;;;
ANDALUZA DE LIMPIEZA MEDIOAMBIENTAL S.L.  ;AVDA PALMERA(PI LA PALMERA), 13;41700;DOS HERMANAS;SEVILLA;954680462;;info@grupoalma.net;;;;;;;
AUTOR MULTIMEDIA S.L.  ;AVDA PIRRALOS (LOS), 63;41700;DOS HERMANAS;SEVILLA;955665359;;autor@autor-multimedia.com;www.autor-multimedia.com;;;;;;
C.PEYRA S.L.  ;AVDA PIRRALOS (LOS), 9;41700;DOS HERMANAS;SEVILLA;955667638;;info@cpereira.com;www.cpereira.com;;;;;;
ASMEDISAN S.L.;AVDA PRINCIPES DE ESPAÑA, 27;11520;DOS HERMANAS;SEVILLA;956810842;;jamedina@segurosbilbao.com;;AGENTES DE SEGUROS;;;;;
ASMEDISAN S.L.  ;AVDA PRINCIPES DE ESPAÑA, 27;11520;DOS HERMANAS;SEVILLA;956810842;;jamedina@segurosbilbao.com;;;;;;;
GARCIAPORRASANGELLUIS;AVDA RAMON Y CAJAL, 14;29640;DOS HERMANAS;SEVILLA;952583234;;info@audiomovil.com;;COMERCIO DE PIEZAS DE RECAMBIO Y DE ACCESORIOS DE VEHÍCULOS VEHÍCULOS INDUSTRIALES;;;;;
MARTIN MORRO ENCARNACION;AVDA RAMON Y CAJAL, 28;41700;DOS HERMANAS;SEVILLA;954721116;;emartinmorro@infonegocio.com;;ALIMENTACION;;;;;
DOS HERMANAS CLUB DE FUTBOL  ;AVDA RAMON Y CAJAL, S/N;41700;DOS HERMANAS;SEVILLA;955663358;;doshermanascf@hotmail.com;;;;;;;
INFO-COPY S.L. AVDA. LOS PIRRALOS, 43 LOCAL  ;AVDA REYES CATOLICOS, 49;41700;DOS HERMANAS;SEVILLA;955679003;;info-copy@telefonica.net;;;;;;;
GARCIA&CERRATO S.C.  ;AVDA REYES CATOLICOS, 8;41700;DOS HERMANAS;SEVILLA;955669131;;garceabogados@terra.es;;SERV. JURIDICOS;;;;;
CASPROVIS.L.;AVDA SAN FRANCISCO JAVIER, 22;41018;DOS HERMANAS;SEVILLA;954646131;;caprovi@caprovi.com;;PROMOTORES CONSTRUCTORES;;;;;
BARO MOTOR AVDA. VELAZQUEZ, 3  ;AVDA VELAZQUEZ, 3;;DOS HERMANAS;SEVILLA;952342614;;info@crackrentacar.com;www.crackrentacar.com;AUTOMOVIL;;;;;
ABETO'S;AVDA. ANDALUCIA, 189;41700;DOS HERMANAS;SEVILLA;955675353;955675357;info@abetos.com;;FABRICACIÓN DE MUEBLES PARA EL HOGAR ;;;;;
EXPORSEVILLA, S.A.;AVDA. ANDALUCIA, 230;41700;DOS HERMANAS;SEVILLA;955666440;954721119;exporsev@arrakis.es;;ALIMENTACION;;;;;
EXPORSEVILLA, S.A.;AVDA. ANDALUCIA, 230;41700;DOS HERMANAS;SEVILLA;955666440;954721119;exporsevilla@exporsevilla.com;www.exporsevilla.com;ALIMENTACION;;;;;
